"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
9410,1.8592,0.032,0.0184,1011.34,13.48
9670,1.8518,0.032,0.0183,1011.37,13.68
8980,1.8629,0.033,0.0184,1011.26,12.74
9050,1.9075,0.035,0.0189,1011.12,12.82
8680,1.9297,0.039,0.0191,1010.99,12.17
8420,1.9372,0.043,0.0192,1010.69,11.51
8520,1.9372,0.049,0.0192,1010.19,11.26
8680,1.9706,0.055,0.0195,1009.56,11.26
8840,2.0002,0.061,0.0198,1009.04,11.24
8780,1.9854,0.068,0.0197,1008.41,10.87
8900,1.9706,0.075,0.0196,1007.77,10.76
9010,2.0002,0.08,0.0199,1007.08,10.68
9070,2.0114,0.086,0.02,1006.48,10.65
9130,2.0856,0.092,0.0207,1005.83,10.59
9270,2.1338,0.098,0.0212,1005.15,10.54
9390,2.1376,0.104,0.0213,1004.44,10.48
9620,2.1264,0.11,0.0212,1003.7,10.57
9680,2.1042,0.116,0.021,1002.99,10.54
9610,2.1487,0.121,0.0214,1002.25,10.42
9550,2.1895,0.126,0.0219,1001.56,10.37
9500,2.2044,0.131,0.022,1000.91,10.23
9630,2.2155,0.137,0.0222,1000.2,10.3
9640,2.2118,0.144,0.0221,999.4,10.2
9740,2.2155,0.15,0.0222,998.64,10.17
9820,2.2303,0.156,0.0224,997.88,10.18
9920,2.2415,0.16,0.0225,997.27,10.27
9930,2.2489,0.164,0.0226,996.73,10.26
9880,2.2563,0.169,0.0226,996.19,10.22
9850,2.2786,0.174,0.0229,995.66,10.1
9880,2.312,0.18,0.0232,995.02,10.08
9920,2.3231,0.186,0.0234,994.29,10.04
9900,2.3417,0.192,0.0236,993.59,9.93
9930,2.4122,0.198,0.0243,992.84,9.88
9910,2.4047,0.204,0.0242,992.13,9.82
9890,2.3342,0.209,0.0235,991.45,9.78
9930,2.3345,0.215,0.0236,990.7,9.78
9910,2.372,0.222,0.024,989.99,9.68
9940,2.3833,0.228,0.0241,989.3,9.64
9900,2.3871,0.234,0.0241,988.62,9.5
9900,2.4093,0.241,0.0244,987.91,9.47
9930,2.3685,0.247,0.024,987.11,9.44
9970,2.3314,0.253,0.0236,986.4,9.42
9890,2.3536,0.257,0.0239,985.86,9.3
9940,2.4057,0.262,0.0244,985.29,9.4
9870,2.4057,0.267,0.0244,984.7,9.27
9900,2.3834,0.273,0.0242,984.09,9.23
9890,2.3649,0.277,0.024,983.46,9.21
9870,2.4057,0.282,0.0245,982.85,9.16
9860,2.4094,0.289,0.0245,982.16,9.03
9900,2.3871,0.296,0.0243,981.44,8.99
9890,2.3834,0.303,0.0243,980.52,8.86
9910,2.3797,0.31,0.0243,979.58,8.81
9950,2.4131,0.318,0.0247,978.79,8.78
9940,2.4614,0.326,0.0252,977.98,8.73
9930,2.4465,0.333,0.025,977.12,8.63
9960,2.4317,0.339,0.0249,976.43,8.59
9970,2.4799,0.344,0.0254,975.84,8.56
9980,2.428,0.349,0.0249,975.26,8.54
9980,2.3908,0.354,0.0245,974.67,8.53
9920,2.454,0.36,0.0252,974.07,8.4
9930,2.4874,0.368,0.0256,973.25,8.37
9980,2.4354,0.375,0.025,972.58,8.35
9940,2.4094,0.379,0.0248,971.97,8.23
9940,2.4614,0.383,0.0253,971.37,8.21
9960,2.4911,0.388,0.0257,970.76,8.18
9990,2.5022,0.394,0.0258,970.08,8.14
10000,2.5022,0.4,0.0258,969.41,8.1
10000,2.4911,0.407,0.0257,968.7,7.95
10000,2.5134,0.413,0.026,968.04,7.91
10100,2.4874,0.419,0.0257,967.28,7.89
10100,2.4614,0.423,0.0255,966.56,7.87
10100,2.4725,0.428,0.0256,966.04,7.83
10100,2.5542,0.433,0.0265,965.41,7.79
10000,2.5913,0.439,0.0269,964.79,7.7
10100,2.5356,0.444,0.0263,964.33,7.66
10100,2.5134,0.449,0.0261,963.77,7.62
10200,2.4948,0.455,0.0259,963.16,7.61
10200,2.5356,0.461,0.0263,962.57,7.58
10200,2.5579,0.466,0.0266,961.96,7.54
10200,2.5653,0.471,0.0267,961.2,7.45
10200,2.6322,0.478,0.0274,960.29,7.43
10200,2.6396,0.483,0.0275,959.67,7.43
10200,2.647,0.488,0.0276,958.98,7.41
10100,2.5987,0.493,0.0271,958.25,7.31
10100,2.5765,0.499,0.0269,957.52,7.29
10200,2.6508,0.505,0.0277,956.86,7.28
10100,2.7251,0.511,0.0285,956.24,7.26
10100,2.7366,0.516,0.0286,955.66,7.25
10000,2.6591,0.521,0.0278,955.08,7.3
9950,2.6073,0.527,0.0273,954.47,7.32
9970,2.637,0.532,0.0276,953.94,7.35
9940,2.7113,0.537,0.0284,953.31,7.37
9930,2.7484,0.543,0.0288,952.68,7.38
9930,2.7224,0.548,0.0286,952.04,7.37
9900,2.6593,0.554,0.0279,951.44,7.37
9820,2.6036,0.56,0.0274,950.8,7.29
9770,2.6221,0.565,0.0276,950.18,7.29
9600,2.6481,0.57,0.0279,949.58,7.28
9520,2.6036,0.574,0.0274,948.97,7.4
9380,2.5738,0.579,0.0271,948.41,7.37
9400,2.585,0.585,0.0273,947.8,7.47
9410,2.6444,0.59,0.0279,947.15,7.49
9450,2.6221,0.596,0.0277,946.5,7.52
9480,2.5553,0.6,0.027,945.87,7.52
9490,2.5107,0.604,0.0266,945.41,7.53
9540,2.507,0.608,0.0265,944.95,7.61
9580,2.5144,0.613,0.0266,944.42,7.66
9560,2.559,0.617,0.0271,943.95,7.7
9540,2.585,0.622,0.0274,943.46,7.72
9530,2.5961,0.627,0.0275,942.92,7.77
9590,2.5553,0.633,0.0271,942.24,7.94
9540,2.5404,0.64,0.027,941.58,7.95
9510,2.5404,0.646,0.027,940.97,7.96
9610,2.5181,0.651,0.0268,940.4,8.14
9440,2.4996,0.655,0.0266,939.75,7.93
9420,2.4959,0.659,0.0266,939.24,7.91
9260,2.5367,0.664,0.027,938.67,7.7
9320,2.5998,0.67,0.0277,938.08,7.82
9260,2.5701,0.676,0.0274,937.47,7.73
9250,2.5181,0.681,0.0269,936.83,7.69
9200,2.4847,0.686,0.0265,936.27,7.61
9220,2.507,0.691,0.0268,935.69,7.64
9150,2.5738,0.697,0.0275,935.09,7.55
9090,2.5924,0.702,0.0277,934.5,7.48
9050,2.5367,0.708,0.0272,934,7.48
8990,2.4959,0.713,0.0267,933.41,7.55
9070,2.5219,0.719,0.027,932.74,7.79
9060,2.5664,0.724,0.0275,932.14,7.84
9070,2.5367,0.729,0.0272,931.47,7.87
9120,2.4773,0.733,0.0266,930.93,7.88
9230,2.5145,0.738,0.027,930.33,7.96
9280,2.5665,0.743,0.0276,929.75,7.96
9270,2.5591,0.747,0.0275,929.25,7.96
9270,2.5256,0.752,0.0272,928.6,7.97
9240,2.5071,0.758,0.027,928.05,7.98
9190,2.5405,0.764,0.0274,927.46,7.98
9100,2.5739,0.769,0.0278,926.9,7.88
9060,2.5628,0.773,0.0277,926.36,7.85
9060,2.5442,0.777,0.0275,925.87,7.89
9050,2.5219,0.782,0.0273,925.36,7.9
8990,2.5182,0.787,0.0272,924.83,7.93
8910,2.5888,0.793,0.028,924.26,7.96
8890,2.5925,0.798,0.0281,923.68,7.97
8880,2.5888,0.802,0.028,923.06,7.97
8810,2.5739,0.806,0.0279,922.52,7.91
8820,2.6482,0.812,0.0287,921.96,7.95
8770,2.6928,0.818,0.0292,921.37,7.9
8750,2.6371,0.825,0.0286,920.76,7.88
8750,2.5739,0.83,0.028,920.08,7.91
8740,2.6036,0.834,0.0283,919.53,7.92
8690,2.6668,0.838,0.029,919,7.96
8620,2.7299,0.844,0.0297,918.43,7.99
8620,2.7076,0.849,0.0295,917.84,7.99
8640,2.6779,0.854,0.0292,917.23,8
8630,2.7076,0.859,0.0295,916.67,8
8550,2.7485,0.863,0.03,916.13,7.9
8590,2.7336,0.869,0.0299,915.55,7.96
8590,2.7114,0.874,0.0296,914.89,8
8580,2.7114,0.879,0.0297,914.33,7.99
8520,2.7968,0.883,0.0306,913.76,7.94
8520,2.7968,0.888,0.0306,913.24,7.93
8600,2.7448,0.893,0.0301,912.79,8
8600,2.7485,0.898,0.0301,912.29,7.99
8570,2.7782,0.903,0.0305,911.72,7.91
8590,2.7931,0.908,0.0306,911.32,7.91
8570,2.7894,0.912,0.0306,910.89,7.89
8620,2.7708,0.917,0.0304,910.42,7.99
8610,2.7782,0.922,0.0305,909.85,8.02
8550,2.8154,0.927,0.031,909.32,7.92
8530,2.8748,0.931,0.0316,908.91,7.91
8480,2.8971,0.935,0.0319,908.45,7.91
8410,2.8562,0.94,0.0315,907.99,7.81
8390,2.8154,0.945,0.031,907.43,7.79
8390,2.8488,0.952,0.0314,906.88,7.75
8360,2.8748,0.958,0.0317,906.32,7.73
8310,2.8711,0.963,0.0317,905.83,7.63
8320,2.8971,0.967,0.032,905.28,7.62
8320,2.9416,0.971,0.0325,904.79,7.62
8250,2.8896,0.975,0.032,904.26,7.52
8240,2.834,0.979,0.0314,903.76,7.51
8210,2.8266,0.983,0.0313,903.28,7.51
8130,2.8786,0.987,0.0319,902.86,7.42
8120,2.8934,0.991,0.0321,902.38,7.49
8030,2.86,0.995,0.0317,901.91,7.42
7940,2.8266,1,0.0314,901.47,7.36
7940,2.8266,1.005,0.0314,901.03,7.46
7900,2.8897,1.01,0.0321,900.47,7.37
7940,2.8897,1.014,0.0321,899.93,7.45
7950,2.912,1.018,0.0324,899.41,7.42
7940,2.8489,1.022,0.0317,898.95,7.34
7960,2.8192,1.027,0.0314,898.43,7.32
8070,2.834,1.032,0.0316,897.96,7.39
8030,2.8897,1.036,0.0322,897.52,7.3
8030,2.9269,1.041,0.0326,897.06,7.3
8010,2.8823,1.045,0.0321,896.61,7.31
8040,2.8414,1.051,0.0317,896.07,7.31
8200,2.8414,1.057,0.0317,895.53,7.35
8340,2.8823,1.061,0.0322,894.94,7.42
8260,2.8897,1.066,0.0323,894.46,7.35
8160,2.86,1.072,0.032,894,7.36
8090,2.8303,1.077,0.0317,893.54,7.36
8030,2.808,1.082,0.0314,893.08,7.3
7970,2.8563,1.086,0.032,892.58,7.27
7930,2.938,1.091,0.0329,892,7.21
7920,2.9046,1.095,0.0326,891.43,7.2
7950,2.8266,1.099,0.0317,890.91,7.26
7910,2.8043,1.104,0.0315,890.34,7.18
7920,2.8674,1.108,0.0322,889.91,7.15
7940,2.9194,1.112,0.0328,889.28,7.14
7950,2.9863,1.117,0.0336,888.86,7.09
7930,2.9306,1.122,0.033,888.42,7
7940,2.8526,1.128,0.0321,887.76,6.97
7980,2.8489,1.133,0.0321,887.11,6.92
8040,2.8972,1.138,0.0327,886.5,6.91
8100,2.886,1.142,0.0326,885.94,6.9
8190,2.8452,1.146,0.0321,885.43,6.95
8190,2.8266,1.151,0.0319,884.98,6.87
8210,2.86,1.157,0.0323,884.48,6.85
8230,2.9269,1.162,0.0331,883.89,6.84
8200,2.8786,1.167,0.0326,883.36,6.83
8200,2.7894,1.171,0.0316,882.87,6.84
8190,2.7634,1.175,0.0313,882.32,6.82
8100,2.7969,1.179,0.0317,881.82,6.73
8050,2.86,1.184,0.0324,881.42,6.74
8070,2.8712,1.188,0.0326,880.89,6.72
8080,2.8154,1.193,0.032,880.39,6.71
8070,2.7745,1.198,0.0315,879.85,6.7
7990,2.7856,1.203,0.0317,879.33,6.63
7960,2.8115,1.209,0.032,878.8,6.61
7880,2.8523,1.213,0.0325,878.23,6.51
7870,2.7929,1.217,0.0318,877.71,6.5
7900,2.7704,1.222,0.0316,877.18,6.48
7930,2.7591,1.227,0.0315,876.68,6.41
7960,2.7997,1.233,0.032,876.16,6.4
7920,2.8517,1.238,0.0326,875.66,6.32
7900,2.8182,1.243,0.0322,875.13,6.35
7870,2.7662,1.248,0.0316,874.61,6.34
7880,2.7327,1.253,0.0313,874.11,6.31
7910,2.7625,1.259,0.0316,873.56,6.3
8000,2.833,1.264,0.0324,873.06,6.35
7960,2.8367,1.269,0.0325,872.46,6.26
7890,2.7959,1.275,0.0321,871.89,6.19
7970,2.7439,1.28,0.0315,871.39,6.28
7980,2.7476,1.285,0.0316,870.8,6.24
