"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
9720,1.6773,0.033,0.0164,1020.3,10.9
9700,1.7,0.032,0.0167,1020.18,10.88
9660,1.7456,0.032,0.0171,1020.25,10.93
9500,1.7456,0.032,0.0171,1020.07,10.73
9160,1.8023,0.035,0.0177,1019.89,10.29
9240,1.8288,0.04,0.0179,1019.56,10.17
9290,1.8476,0.046,0.0181,1019.07,10
9280,1.8627,0.053,0.0183,1018.5,9.95
9270,1.8778,0.059,0.0184,1017.86,9.8
9300,1.8929,0.068,0.0186,1017.08,9.73
9290,1.8853,0.076,0.0186,1016.27,9.61
9330,1.8778,0.082,0.0185,1015.49,9.55
9360,1.8816,0.086,0.0185,1014.71,9.53
9390,1.9193,0.09,0.0189,1014.11,9.51
9400,1.9608,0.095,0.0193,1013.58,9.47
9450,1.9947,0.1,0.0197,1013,9.43
9520,1.9985,0.105,0.0197,1012.4,9.41
9530,1.9797,0.11,0.0196,1011.93,9.29
9590,1.9722,0.113,0.0195,1011.36,9.38
9600,2.0065,0.117,0.0199,1010.77,9.36
9630,2.0408,0.123,0.0202,1010.14,9.33
9600,2.0483,0.129,0.0203,1009.53,9.19
9630,2.037,0.135,0.0202,1008.72,9.15
9730,2.0446,0.14,0.0203,1008.14,9.21
9710,2.0521,0.145,0.0204,1007.5,9.12
9710,2.0597,0.149,0.0205,1006.8,9.1
9650,2.071,0.155,0.0206,1006.27,8.97
9630,2.1125,0.16,0.021,1005.61,8.94
9610,2.1389,0.167,0.0213,1004.91,8.88
9520,2.1276,0.173,0.0212,1004.17,8.67
9590,2.1313,0.18,0.0212,1003.39,8.71
9550,2.1276,0.187,0.0212,1002.56,8.59
9600,2.1162,0.193,0.0211,1001.8,8.56
9600,2.1125,0.197,0.0211,1001.15,8.54
9660,2.1615,0.203,0.0216,1000.56,8.51
9670,2.154,0.208,0.0215,999.98,8.49
9590,2.1427,0.212,0.0214,999.42,8.37
9610,2.1735,0.218,0.0218,998.75,8.34
9640,2.1849,0.225,0.0219,998.07,8.3
9610,2.1472,0.231,0.0215,997.35,8.19
9590,2.1736,0.236,0.0218,996.65,8.19
9520,2.1887,0.242,0.022,995.99,8.2
9560,2.1963,0.247,0.0221,995.21,8.17
9570,2.2038,0.252,0.0222,994.57,8.16
9510,2.1925,0.259,0.0221,993.78,8.14
9360,2.1812,0.265,0.022,993.04,8.12
9160,2.1887,0.27,0.0221,992.39,8.12
9010,2.2302,0.276,0.0225,991.7,8.37
8920,2.2453,0.282,0.0227,990.9,8.45
8890,2.2302,0.288,0.0225,990.09,8.55
8830,2.2264,0.294,0.0225,989.41,8.6
8790,2.2491,0.298,0.0227,988.86,8.68
8740,2.2981,0.302,0.0233,988.27,8.86
8600,2.3132,0.308,0.0234,987.64,8.89
8600,2.3215,0.315,0.0235,986.93,8.99
8580,2.3179,0.321,0.0235,986.21,9.01
8580,2.3557,0.328,0.0239,985.39,9.01
8530,2.3595,0.336,0.024,984.6,8.9
8540,2.3444,0.342,0.0238,983.81,8.88
8550,2.3482,0.347,0.0239,983.05,8.84
8600,2.3973,0.352,0.0244,982.29,8.83
8570,2.4051,0.357,0.0245,981.67,8.73
8610,2.4132,0.362,0.0246,981.09,8.77
8580,2.4661,0.366,0.0252,980.53,8.68
8600,2.4888,0.371,0.0254,980.05,8.67
8590,2.4963,0.377,0.0255,979.47,8.63
8620,2.5039,0.384,0.0256,978.75,8.6
8670,2.4963,0.39,0.0255,978.15,8.56
8750,2.4963,0.396,0.0255,977.42,8.42
8830,2.4888,0.402,0.0255,976.5,8.48
8820,2.4737,0.409,0.0253,975.85,8.34
8950,2.485,0.414,0.0255,975.2,8.4
9010,2.519,0.419,0.0258,974.57,8.38
9020,2.5077,0.424,0.0257,973.88,8.36
8960,2.5045,0.431,0.0257,973.22,8.24
9030,2.5124,0.438,0.0258,972.57,8.21
9100,2.5049,0.443,0.0258,971.96,8.19
9100,2.4897,0.448,0.0256,971.22,8.15
9050,2.486,0.454,0.0256,970.56,8.04
9120,2.4784,0.46,0.0256,969.85,8.08
9080,2.4709,0.465,0.0255,969.25,7.97
9090,2.4709,0.47,0.0255,968.61,7.96
9110,2.4557,0.475,0.0254,968.04,7.93
9110,2.4406,0.48,0.0252,967.43,7.9
9150,2.4406,0.486,0.0252,966.75,7.87
9140,2.4331,0.492,0.0252,966.14,7.74
9150,2.4255,0.498,0.0251,965.53,7.71
9180,2.4293,0.504,0.0252,964.77,7.66
9150,2.4293,0.51,0.0252,964.01,7.54
9180,2.3991,0.515,0.0249,963.22,7.52
9230,2.4067,0.52,0.025,962.59,7.57
9120,2.3999,0.525,0.0249,961.96,7.4
9130,2.4038,0.532,0.025,961.19,7.35
9140,2.3887,0.539,0.0249,960.49,7.31
9150,2.3547,0.546,0.0245,959.82,7.29
9110,2.3395,0.55,0.0244,959.13,7.2
9090,2.3282,0.555,0.0243,958.61,7.15
9090,2.3547,0.56,0.0246,958.02,7.14
9020,2.3926,0.566,0.025,957.47,7.03
9080,2.3858,0.572,0.0249,956.85,7.07
9050,2.333,0.576,0.0244,956.36,6.98
9040,2.3443,0.581,0.0245,955.69,6.96
9020,2.3783,0.587,0.0249,954.93,6.9
8980,2.3935,0.594,0.0251,954.28,6.77
9040,2.333,0.601,0.0245,953.35,6.75
9050,2.2989,0.605,0.0241,952.78,6.71
9090,2.3216,0.609,0.0244,952.24,6.7
9020,2.3292,0.615,0.0245,951.63,6.59
9030,2.333,0.622,0.0245,950.93,6.57
9060,2.3262,0.629,0.0245,950.3,6.52
8990,2.3225,0.635,0.0245,949.53,6.37
8960,2.3149,0.642,0.0244,948.86,6.27
8960,2.2657,0.648,0.0239,948.01,6.24
8950,2.2733,0.653,0.024,947.48,6.2
8890,2.3187,0.658,0.0245,946.86,6.1
8900,2.3225,0.663,0.0245,946.27,6.08
8910,2.3149,0.669,0.0245,945.61,6.06
8870,2.3187,0.675,0.0245,944.95,5.94
8890,2.3112,0.681,0.0245,944.3,5.89
8910,2.3119,0.688,0.0245,943.59,5.87
8940,2.2893,0.694,0.0243,942.87,5.84
8970,2.2628,0.7,0.024,942.19,5.81
8920,2.259,0.704,0.024,941.51,5.71
8920,2.278,0.709,0.0242,940.85,5.71
8870,2.2893,0.715,0.0243,940.24,5.59
8920,2.278,0.72,0.0242,939.58,5.63
8940,2.2742,0.725,0.0242,939.05,5.6
8940,2.2969,0.731,0.0245,938.4,5.52
9010,2.3044,0.738,0.0246,937.73,5.54
9000,2.259,0.744,0.0241,937.11,5.45
9040,2.2098,0.747,0.0236,936.53,5.5
8940,2.225,0.75,0.0238,935.92,5.35
8920,2.2742,0.754,0.0243,935.4,5.32
8930,2.2817,0.759,0.0244,934.92,5.33
8860,2.2515,0.764,0.0241,934.44,5.21
8970,2.2439,0.768,0.024,933.92,5.37
8820,2.2515,0.772,0.0241,933.47,5.15
8670,2.2553,0.777,0.0242,932.86,4.94
8700,2.259,0.782,0.0242,932.35,4.94
8680,2.2288,0.787,0.0239,931.8,4.92
8680,2.2288,0.792,0.0239,931.24,4.9
8770,2.2477,0.796,0.0241,930.79,5.01
8780,2.2629,0.801,0.0243,930.22,4.99
8730,2.2629,0.807,0.0243,929.64,4.91
8670,2.2478,0.814,0.0242,928.99,4.9
8600,2.2478,0.821,0.0242,928.37,4.81
8590,2.2364,0.826,0.0241,927.67,4.79
8580,2.2553,0.832,0.0243,926.92,4.8
8520,2.278,0.838,0.0246,926.28,4.77
8450,2.2818,0.843,0.0247,925.68,4.72
8320,2.2743,0.847,0.0246,925.05,4.64
8070,2.2743,0.852,0.0246,924.47,4.62
7970,2.3045,0.857,0.0249,923.89,4.67
7890,2.3272,0.862,0.0252,923.4,4.73
7700,2.3499,0.866,0.0255,922.82,4.74
7550,2.3427,0.872,0.0254,922.21,5.01
7550,2.3431,0.877,0.0254,921.7,5.22
7590,2.3848,0.881,0.0259,921.18,5.39
7560,2.4453,0.885,0.0266,920.62,5.59
7370,2.4719,0.89,0.0269,920.12,5.74
7090,2.4909,0.895,0.0271,919.64,6
6830,2.5098,0.901,0.0273,919.09,6.36
6590,2.5477,0.907,0.0277,918.5,6.78
6380,2.6083,0.912,0.0284,917.9,6.97
6220,2.6575,0.917,0.029,917.37,7.11
6140,2.6575,0.923,0.029,916.78,7.25
6130,2.6651,0.927,0.0291,916.29,7.39
6090,2.7181,0.931,0.0297,915.78,7.45
5920,2.8013,0.936,0.0306,915.24,7.47
5790,2.8619,0.94,0.0313,914.74,7.7
5470,2.9149,0.946,0.0319,914.16,7.89
4990,2.9565,0.952,0.0324,913.52,8.13
4610,2.983,0.958,0.0327,912.88,8.28
4410,2.9944,0.965,0.0328,912.3,8.35
4310,3.0398,0.971,0.0333,911.65,8.41
4190,3.1193,0.976,0.0342,911.02,8.37
