"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
8320,2.3167,0.034,0.0227,1019.3,14.13
8270,2.3428,0.036,0.023,1019.05,13.98
7550,2.3839,0.038,0.0234,1018.9,12.78
7400,2.3167,0.041,0.0227,1018.58,12.35
7250,2.3578,0.038,0.0232,1018.46,11.89
7280,2.3764,0.038,0.0233,1018.18,11.8
7330,2.3876,0.038,0.0235,1017.98,11.67
7550,2.3764,0.041,0.0233,1017.76,11.78
7770,2.4324,0.044,0.0239,1017.59,11.88
7930,2.4361,0.047,0.0239,1017.33,11.89
8040,2.4364,0.051,0.024,1017.05,11.83
8110,2.4481,0.055,0.0241,1016.71,11.72
8210,2.4259,0.061,0.0239,1016.4,11.68
8210,2.4819,0.065,0.0244,1015.9,11.55
8240,2.5342,0.069,0.025,1015.38,11.48
8230,2.5192,0.075,0.0248,1014.88,11.35
8310,2.4745,0.082,0.0244,1014.27,11.29
8420,2.4857,0.09,0.0245,1013.63,11.24
8500,2.482,0.097,0.0245,1012.97,11.18
8640,2.5156,0.104,0.0249,1012.29,11.23
8560,2.5417,0.111,0.0251,1011.45,11
8640,2.5007,0.119,0.0247,1010.7,11.07
8630,2.5343,0.126,0.0251,1009.9,10.92
8650,2.5753,0.133,0.0255,1009.18,10.9
8820,2.5641,0.141,0.0254,1008.3,11.04
8900,2.5567,0.149,0.0254,1007.45,11.06
8950,2.5268,0.155,0.0251,1006.57,11.13
8890,2.579,0.16,0.0256,1005.72,11
8860,2.6238,0.165,0.0261,1004.97,10.94
8810,2.5641,0.172,0.0255,1004.26,10.8
8820,2.5678,0.177,0.0256,1003.61,10.7
8860,2.5641,0.182,0.0256,1002.97,10.67
8850,2.5678,0.186,0.0256,1002.4,10.63
8860,2.5977,0.189,0.0259,1001.9,10.61
8840,2.579,0.195,0.0258,1001.27,10.56
8770,2.5828,0.2,0.0258,1000.64,10.44
8830,2.5716,0.204,0.0257,1000.05,10.42
8830,2.5455,0.208,0.0255,999.38,10.39
8770,2.5417,0.212,0.0254,998.86,10.26
8760,2.5156,0.214,0.0252,998.41,10.24
8740,2.5007,0.217,0.0251,998.03,10.23
8740,2.5455,0.217,0.0255,997.64,10.17
8690,2.5531,0.217,0.0256,997.46,10.07
8670,2.5756,0.22,0.0258,997.31,10.07
8730,2.6058,0.222,0.0261,997.05,10.06
8760,2.6209,0.224,0.0263,996.73,10.04
8740,2.6099,0.228,0.0262,996.46,9.92
8850,2.5876,0.232,0.026,996.09,9.99
8900,2.5764,0.237,0.0259,995.57,9.97
8930,2.5801,0.241,0.0259,995.11,9.95
8960,2.5465,0.246,0.0256,994.61,9.92
8960,2.5727,0.251,0.0259,994,9.76
8980,2.6287,0.256,0.0265,993.47,9.73
8960,2.6212,0.262,0.0264,992.87,9.73
8960,2.6025,0.269,0.0262,992.21,9.62
8980,2.5801,0.276,0.026,991.5,9.6
9010,2.6025,0.281,0.0263,990.86,9.67
