"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
10600,3.0142,0.038,0.03,1003.36,8.91
10500,3.058,0.039,0.0305,1003.31,8.9
10300,3.1097,0.042,0.031,1003.27,8.77
10100,3.1417,0.045,0.0313,1003.02,8.57
10100,3.1497,0.049,0.0314,1002.69,8.54
10300,3.1891,0.054,0.0318,1002.28,8.58
10300,3.2325,0.06,0.0323,1001.7,8.53
10200,3.2563,0.066,0.0325,1001.02,8.42
10300,3.2722,0.071,0.0327,1000.45,8.4
10300,3.2842,0.076,0.0328,999.83,8.38
10300,3.3121,0.079,0.0331,999.31,8.36
10300,3.3639,0.083,0.0337,998.81,8.33
10300,3.4038,0.088,0.0341,998.25,8.31
10300,3.4356,0.092,0.0344,997.76,8.19
10300,3.4596,0.097,0.0347,997.21,8.17
10300,3.4715,0.102,0.0348,996.59,8.13
10300,3.4914,0.107,0.0351,995.93,8.11
10400,3.4994,0.112,0.0352,995.45,8.1
10300,3.5154,0.116,0.0353,994.98,8.07
10300,3.5552,0.12,0.0358,994.46,7.97
10400,3.603,0.125,0.0363,993.88,8.05
10300,3.607,0.131,0.0363,993.33,7.91
10200,3.627,0.136,0.0365,992.68,7.81
10300,3.6389,0.141,0.0367,992.05,7.77
10300,3.6549,0.147,0.0369,991.38,7.75
10300,3.6708,0.154,0.0371,990.64,7.7
10200,3.6867,0.16,0.0372,989.87,7.58
10200,3.6867,0.166,0.0373,989.15,7.56
10200,3.6828,0.171,0.0373,988.38,7.51
10300,3.6947,0.176,0.0374,987.6,7.49
10200,3.7545,0.181,0.038,986.99,7.39
10200,3.7784,0.187,0.0383,986.29,7.38
10200,3.7745,0.193,0.0383,985.54,7.36
10100,3.7706,0.199,0.0383,984.85,7.24
10100,3.7706,0.206,0.0383,984.12,7.21
10100,3.7785,0.212,0.0384,983.44,7.18
10100,3.7785,0.218,0.0384,982.75,7.06
10200,3.7825,0.223,0.0385,982.08,7.13
10200,3.8024,0.227,0.0387,981.41,7.12
10100,3.8104,0.231,0.0389,980.77,7.01
10100,3.8304,0.235,0.0391,980.04,6.99
10100,3.8503,0.24,0.0393,979.41,6.98
10100,3.8343,0.244,0.0392,978.78,6.95
10100,3.8304,0.248,0.0392,978.26,6.96
10000,3.8543,0.252,0.0394,977.84,6.84
10000,3.8662,0.256,0.0396,977.33,6.84
10000,3.8782,0.26,0.0397,976.75,6.84
10000,3.8862,0.264,0.0398,976.21,6.83
10000,3.8941,0.269,0.0399,975.8,6.81
9980,3.9141,0.274,0.0401,975.24,6.7
9990,3.922,0.279,0.0402,974.63,6.7
9980,3.9021,0.284,0.0401,974.04,6.68
10100,3.934,0.288,0.0404,973.5,6.76
10000,3.942,0.293,0.0405,972.97,6.67
10000,3.93,0.299,0.0404,972.37,6.65
9930,3.938,0.304,0.0405,971.8,6.54
9930,3.934,0.31,0.0405,971.14,6.53
9940,3.93,0.315,0.0405,970.55,6.53
9940,3.938,0.319,0.0406,970.03,6.51
9950,3.93,0.324,0.0405,969.52,6.51
9940,3.9459,0.329,0.0407,968.93,6.49
9940,3.9579,0.333,0.0409,968.43,6.48
9870,3.9619,0.338,0.0409,967.79,6.38
9860,3.9579,0.343,0.0409,967.08,6.36
9890,3.9579,0.348,0.0409,966.56,6.36
9880,3.9579,0.353,0.041,966.05,6.34
9880,3.9699,0.358,0.0411,965.6,6.33
9870,3.9818,0.364,0.0413,964.99,6.3
9900,3.9778,0.37,0.0412,964.37,6.32
9910,3.9778,0.377,0.0413,963.68,6.31
9850,3.9738,0.383,0.0413,963,6.2
9860,3.942,0.388,0.041,962.36,6.18
9850,3.9499,0.392,0.0411,961.72,6.18
9840,3.9938,0.397,0.0416,961.1,6.16
9770,4.0257,0.404,0.0419,960.42,6.06
9770,4.0296,0.411,0.042,959.71,6.04
9780,4.0057,0.417,0.0418,959.05,6.03
9780,3.9976,0.423,0.0417,958.39,6.01
9780,3.9974,0.428,0.0417,957.83,6
9800,3.9814,0.433,0.0416,957.25,5.99
10000,4.0007,0.439,0.0418,956.65,6.24
9990,4.0083,0.444,0.0419,956.05,6.15
10100,4.0123,0.449,0.042,955.49,6.26
10100,4.0322,0.453,0.0422,954.91,6.23
10100,4.0521,0.458,0.0425,954.39,6.23
10100,4.0601,0.462,0.0426,953.77,6.23
10100,4.084,0.467,0.0428,953.26,6.25
10000,4.1119,0.473,0.0432,952.68,6.13
10000,4.1158,0.479,0.0432,952.08,6.14
10000,4.1079,0.485,0.0432,951.51,6.14
9920,4.1039,0.49,0.0432,950.8,6.02
9920,4.1238,0.495,0.0434,950.16,6.01
9920,4.1597,0.499,0.0438,949.52,6
9980,4.1676,0.504,0.0439,948.98,6.1
9830,4.2035,0.509,0.0443,948.5,5.9
9830,4.2274,0.515,0.0446,947.8,5.89
9820,4.2115,0.52,0.0445,947.23,5.88
9830,4.1916,0.524,0.0443,946.64,5.86
9800,4.1955,0.528,0.0443,946.1,5.86
9740,4.2234,0.533,0.0447,945.52,5.76
9730,4.2314,0.539,0.0448,945.02,5.75
9790,4.2155,0.544,0.0446,944.48,5.82
9740,4.2234,0.549,0.0447,943.87,5.73
9840,4.2433,0.554,0.045,943.16,5.83
9950,4.2473,0.559,0.0451,942.67,5.95
9910,4.2633,0.564,0.0453,942.1,5.89
9830,4.2712,0.57,0.0454,941.46,5.76
9900,4.2752,0.575,0.0454,940.78,5.84
9720,4.2712,0.58,0.0454,940.14,5.6
9730,4.2792,0.585,0.0455,939.63,5.61
9790,4.2912,0.59,0.0457,939,5.71
9780,4.3031,0.595,0.0459,938.48,5.68
9720,4.3151,0.6,0.046,937.93,5.6
9680,4.3229,0.605,0.0461,937.4,5.57
9700,4.3299,0.61,0.0462,936.84,5.57
9720,4.3414,0.614,0.0464,936.35,5.58
9720,4.3533,0.62,0.0465,935.79,5.57
9730,4.3454,0.625,0.0465,935.13,5.57
9670,4.3334,0.63,0.0464,934.48,5.47
9660,4.3374,0.635,0.0464,933.85,5.46
9660,4.3494,0.64,0.0466,933.37,5.45
9640,4.3533,0.644,0.0467,932.89,5.42
9640,4.3772,0.649,0.0469,932.38,5.41
9560,4.4211,0.654,0.0474,931.75,5.33
9530,4.441,0.661,0.0477,931.16,5.3
9470,4.4172,0.667,0.0475,930.53,5.2
9560,4.4093,0.673,0.0474,929.91,5.29
9590,4.3814,0.678,0.0471,929.33,5.29
9610,4.3893,0.682,0.0473,928.72,5.28
9610,4.4132,0.688,0.0475,928.14,5.28
9530,4.4212,0.694,0.0477,927.52,5.17
9380,4.4411,0.7,0.0479,926.85,5.04
9270,4.4371,0.707,0.0479,926.16,4.92
9070,4.4132,0.713,0.0477,925.37,4.69
9040,4.4172,0.719,0.0478,924.75,4.67
8970,4.4212,0.723,0.0478,924.04,4.57
9010,4.4212,0.727,0.0479,923.49,4.62
8980,4.4411,0.731,0.0481,923.01,4.54
8960,4.4451,0.735,0.0482,922.42,4.53
8950,4.4331,0.739,0.0481,921.96,4.52
8970,4.465,0.743,0.0485,921.5,4.51
8960,4.4929,0.748,0.0488,921.09,4.49
9050,4.4889,0.752,0.0488,920.61,4.58
9030,4.4849,0.756,0.0487,920.12,4.5
9040,4.4849,0.759,0.0488,919.64,4.48
8970,4.5048,0.763,0.049,919.18,4.39
9050,4.5248,0.767,0.0492,918.74,4.48
9070,4.5208,0.771,0.0492,918.34,4.48
9070,4.5088,0.775,0.0491,917.84,4.47
9060,4.5248,0.78,0.0493,917.34,4.45
9070,4.5048,0.785,0.0491,916.82,4.45
9080,4.473,0.789,0.0488,916.33,4.43
9020,4.5009,0.792,0.0491,915.86,4.34
9020,4.5205,0.797,0.0494,915.4,4.32
9020,4.5076,0.801,0.0493,914.89,4.32
9010,4.5032,0.806,0.0492,914.4,4.31
9010,4.4793,0.81,0.049,913.97,4.3
9010,4.4792,0.814,0.049,913.54,4.29
9030,4.4872,0.817,0.0491,913.12,4.3
9040,4.5071,0.82,0.0494,912.76,4.29
8960,4.5429,0.824,0.0498,912.28,4.21
8950,4.5389,0.829,0.0498,911.85,4.2
8880,4.4991,0.834,0.0494,911.32,4.1
8950,4.5031,0.837,0.0494,910.86,4.19
8960,4.5389,0.839,0.0498,910.53,4.17
8880,4.5588,0.843,0.0501,910.14,4.07
