"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
7980,2.8991,0.038,0.0284,1019.39,14.57
8130,2.9178,0.039,0.0286,1019.35,14.71
7760,2.9813,0.04,0.0293,1019.24,14.16
7210,3.0636,0.046,0.0301,1019.1,13.34
7410,3.0796,0.043,0.0302,1018.79,12.99
7500,3.0684,0.045,0.0301,1018.42,12.98
7000,3.0684,0.05,0.0301,1017.99,13.03
6040,3.117,0.056,0.0306,1017.48,13.53
5430,3.1394,0.061,0.0309,1016.97,13.91
5170,3.1357,0.066,0.0308,1016.51,14.35
5100,3.1768,0.071,0.0313,1016,14.79
4840,3.2445,0.074,0.0319,1015.51,15.09
4730,3.294,0.078,0.0325,1015,15.24
4990,3.3613,0.083,0.0331,1014.55,15.32
4890,3.4137,0.088,0.0337,1013.97,15.24
4990,3.4548,0.094,0.0341,1013.35,15.32
5160,3.4249,0.099,0.0338,1012.65,15.58
5220,3.496,0.104,0.0345,1012.13,15.95
5280,3.5633,0.108,0.0352,1011.57,16.22
5260,3.5754,0.112,0.0354,1010.92,16.28
5190,3.5759,0.117,0.0354,1010.36,16.46
5140,3.5983,0.121,0.0356,1009.82,16.49
5090,3.6432,0.125,0.0361,1009.29,16.42
5070,3.6769,0.131,0.0364,1008.8,16.65
5040,3.6881,0.137,0.0366,1008.21,16.7
5000,3.6806,0.142,0.0365,1007.58,16.59
4970,3.6694,0.147,0.0364,1006.95,16.59
4940,3.6963,0.151,0.0367,1006.39,16.6
4900,3.7569,0.155,0.0374,1005.86,16.48
4920,3.7981,0.16,0.0378,1005.3,16.61
4880,3.7906,0.167,0.0377,1004.66,16.67
4870,3.7382,0.173,0.0372,1003.97,16.67
4890,3.7307,0.176,0.0372,1003.47,16.64
4890,3.7868,0.179,0.0378,1003.02,16.6
4870,3.843,0.182,0.0383,1002.61,16.56
4820,3.8703,0.186,0.0386,1002.03,16.58
4760,3.8744,0.19,0.0387,1001.49,16.47
4730,3.8669,0.195,0.0386,1000.98,16.34
4780,3.8407,0.2,0.0384,1000.42,16.42
4790,3.8482,0.204,0.0385,999.9,16.41
4770,3.8669,0.208,0.0387,999.35,16.39
4700,3.8856,0.213,0.0389,998.79,16.26
4690,3.8828,0.218,0.0389,998.26,16.24
4660,3.8834,0.222,0.0389,997.68,16.26
4630,3.9096,0.226,0.0392,997.18,16.26
4590,3.9284,0.232,0.0394,996.62,16.27
4570,3.9134,0.239,0.0393,996.01,16.15
4570,3.8535,0.244,0.0387,995.4,16.13
4540,3.8572,0.247,0.0388,994.83,16.1
4550,3.9021,0.25,0.0392,994.26,16.09
4580,3.9298,0.255,0.0395,993.72,16.06
4540,3.9261,0.26,0.0395,993.13,16.03
4520,3.8812,0.265,0.0391,992.53,15.89
4560,3.8849,0.27,0.0392,992,15.87
4540,3.9074,0.274,0.0394,991.51,15.74
4500,3.8924,0.279,0.0393,990.98,15.73
4480,3.9074,0.284,0.0395,990.42,15.75
4480,3.9561,0.288,0.04,989.86,15.83
4440,3.9913,0.294,0.0403,989.34,15.7
4450,3.9913,0.302,0.0404,988.61,15.69
4440,3.9876,0.308,0.0404,987.93,15.56
4440,3.9464,0.314,0.04,987.23,15.53
4450,3.9614,0.32,0.0402,986.61,15.52
4410,3.9764,0.325,0.0403,985.94,15.4
4390,3.9615,0.329,0.0402,985.28,15.35
4400,3.9465,0.332,0.0401,984.74,15.36
4410,4.0028,0.339,0.0407,984.15,15.34
4380,4.029,0.346,0.041,983.53,15.2
4390,4.0037,0.352,0.0407,982.89,15.28
