"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
12700,1.7531,0.033,0.0172,1019.23,11.94
12400,1.7963,0.034,0.0176,1017.78,11.76
12100,1.8081,0.035,0.0178,1017.52,11.47
12000,1.7924,0.037,0.0176,1016.73,11.35
12100,1.7806,0.047,0.0175,1015.47,11.33
12200,1.7923,0.047,0.0177,1015.2,11.43
12200,1.8197,0.053,0.0179,1014.88,11.39
12100,1.8312,0.059,0.0181,1014.31,11.25
12300,1.8114,0.066,0.0179,1013.23,11.34
12200,1.8152,0.072,0.0179,1012.58,11.21
12200,1.827,0.077,0.0181,1011.64,11.2
12300,1.8388,0.082,0.0182,1011.28,11.17
12300,1.8701,0.087,0.0185,1010.35,11.19
12300,1.8937,0.092,0.0188,1009.64,11.15
12300,1.8819,0.106,0.0187,1008.94,11.04
12300,1.8937,0.106,0.0188,1008.41,11.11
12300,1.925,0.111,0.0191,1008.2,11
12600,1.9525,0.115,0.0194,1007.54,11.27
12800,1.9799,0.12,0.0197,1006.56,11.44
12800,2.027,0.125,0.0201,1006.39,11.44
12700,2.074,0.129,0.0206,1005.96,11.34
12800,2.1328,0.134,0.0212,1005.4,11.46
12800,2.2073,0.138,0.022,1004.44,11.42
12700,2.2544,0.142,0.0225,1004.04,11.43
12700,2.2779,0.153,0.0227,1003.65,11.44
12700,2.3249,0.153,0.0232,1003.06,11.43
12600,2.3641,0.159,0.0236,1002.19,11.33
12600,2.3877,0.165,0.0238,1001.22,11.33
12600,2.4229,0.17,0.0242,1000.76,11.33
12500,2.4974,0.176,0.025,1000.38,11.22
12600,2.5445,0.181,0.0255,998.99,11.3
12600,2.5562,0.187,0.0256,998.8,11.32
12600,2.5562,0.194,0.0256,997.51,11.29
12500,2.5837,0.2,0.0259,997.22,11.19
12600,2.6621,0.208,0.0267,996.93,11.27
12600,2.7248,0.208,0.0274,996.25,11.28
12500,2.7719,0.213,0.0278,995.51,11.17
12500,2.7562,0.218,0.0277,994.51,11.17
12600,2.7758,0.224,0.0279,994.58,11.19
12600,2.8189,0.23,0.0284,993.31,11.16
12600,2.8581,0.234,0.0288,993.52,11.15
12700,2.9052,0.238,0.0293,992.69,11.25
12600,2.9561,0.243,0.0298,992.19,11.15
12600,2.9993,0.247,0.0302,991.51,11.15
12600,3.0032,0.258,0.0303,990.72,11.13
12600,2.9758,0.258,0.0301,989.89,11.13
12600,2.9914,0.264,0.0302,989.67,11.11
12600,3.0306,0.268,0.0306,989.17,11.09
