"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
10500,1.3692,0.033,0.0135,1011.34,13.42
10000,1.4253,0.033,0.0141,1011.12,13.11
9600,1.4679,0.033,0.0145,1010.72,12.56
9300,1.5008,0.035,0.0149,1010.18,12.46
9210,1.5288,0.039,0.0151,1009.56,12.48
9200,1.5568,0.045,0.0154,1008.94,12.45
9190,1.6261,0.052,0.0161,1008.36,12.7
9240,1.6772,0.065,0.0166,1007.81,12.75
9290,1.7325,0.07,0.0172,1007.09,12.73
9380,1.7796,0.07,0.0177,1006.36,12.92
9350,1.7796,0.075,0.0177,1005.61,12.97
9460,1.8177,0.081,0.0181,1004.88,12.9
9660,1.8593,0.088,0.0185,1004.19,12.8
9790,1.8875,0.095,0.0188,1003.51,12.86
9730,1.9241,0.101,0.0192,1002.8,12.82
9460,1.957,0.107,0.0195,1002.18,12.96
8770,1.9854,0.112,0.0198,1001.56,13.23
8490,2.0177,0.123,0.0202,1000.75,13.55
8360,2.0643,0.129,0.0206,999.96,13.8
8210,2.1253,0.129,0.0213,999.2,13.88
8030,2.1856,0.135,0.0219,998.41,14.02
7850,2.2462,0.142,0.0225,997.65,14.4
7730,2.3029,0.148,0.0231,996.93,14.52
7730,2.3717,0.156,0.0238,996.06,14.68
7630,2.4332,0.163,0.0244,995.29,14.58
7650,2.4806,0.171,0.0249,994.58,14.75
7750,2.5771,0.178,0.0259,993.86,14.91
7860,2.6647,0.189,0.0268,993.16,14.93
7980,2.7213,0.193,0.0274,992.5,15.03
8260,2.7508,0.193,0.0277,991.93,15.15
8860,2.7827,0.197,0.0281,991.43,15.31
8940,2.8337,0.202,0.0286,990.89,15.56
8960,2.8845,0.206,0.0291,990.34,15.95
8940,2.9256,0.21,0.0296,989.79,16.03
9020,2.9723,0.215,0.03,989.23,16.14
9010,2.9919,0.219,0.0303,988.54,16.16
8960,3.0013,0.224,0.0304,987.88,16.18
8910,3.0252,0.237,0.0306,987.17,16.22
8800,3.035,0.243,0.0308,986.53,16.31
8720,3.0708,0.243,0.0311,985.94,16.53
8620,3.1123,0.249,0.0316,985.34,16.75
8460,3.1465,0.255,0.032,984.78,16.83
8390,3.1538,0.26,0.032,984.27,16.86
8350,3.2143,0.264,0.0327,983.74,16.99
8200,3.2436,0.269,0.033,983.23,16.92
8030,3.2626,0.273,0.0332,982.62,16.82
8020,3.2674,0.278,0.0333,981.92,16.94
7930,3.2909,0.29,0.0335,981.2,16.84
7920,3.3099,0.297,0.0338,980.46,16.94
7830,3.32,0.297,0.0339,979.74,16.96
7750,3.3304,0.304,0.034,979.09,16.86
7800,3.3512,0.31,0.0342,978.46,16.89
7820,3.4548,0.316,0.0353,977.99,16.99
7810,3.511,0.32,0.0359,977.45,16.98
7740,3.5321,0.323,0.0362,976.8,17
7670,3.5323,0.327,0.0362,976.15,17.04
7470,3.5408,0.333,0.0363,975.44,17.13
7310,3.5602,0.346,0.0365,974.64,17.18
7160,3.5699,0.354,0.0367,973.98,17.08
7190,3.5896,0.354,0.0369,973.28,17.19
7160,3.639,0.361,0.0374,972.6,17.17
7150,3.6688,0.367,0.0377,972.01,17.21
7070,3.7137,0.372,0.0382,971.55,17.08
7100,3.7413,0.376,0.0385,971.04,17.18
7070,3.7739,0.381,0.0389,970.51,17.15
7060,3.7987,0.385,0.0392,970.03,17.14
7000,3.8205,0.389,0.0394,969.48,17.01
7010,3.8613,0.399,0.0399,968.87,17.01
6940,3.8897,0.404,0.0402,968.22,16.98
6810,3.9174,0.404,0.0405,967.53,16.9
