"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
11600,1.87,0.035,0.0184,1017.3,14.05
11100,1.9133,0.035,0.0188,1017.17,13.44
10700,1.933,0.036,0.019,1016.79,12.82
10800,1.9172,0.038,0.0189,1016.42,12.6
10900,1.9211,0.043,0.0189,1015.98,12.5
10900,1.9408,0.049,0.0191,1015.42,12.45
11000,1.9251,0.054,0.019,1014.81,12.41
11200,1.9094,0.058,0.0188,1014.17,12.37
11200,1.9055,0.065,0.0188,1013.59,12.22
11300,1.9212,0.072,0.019,1012.97,12.26
11300,1.933,0.078,0.0191,1012.41,12.24
11400,1.937,0.083,0.0191,1011.89,12.24
11300,1.9606,0.088,0.0194,1011.42,12.1
11300,1.9566,0.092,0.0194,1010.86,12.07
11400,1.9645,0.096,0.0194,1010.38,12.03
11400,1.9724,0.1,0.0195,1009.85,12.01
11500,1.9566,0.104,0.0194,1009.4,12
11600,1.9566,0.108,0.0194,1008.95,11.96
11600,1.9527,0.112,0.0194,1008.61,11.96
11500,1.9685,0.115,0.0195,1008.2,11.84
11600,2.0078,0.117,0.0199,1007.82,11.93
11600,2.0354,0.119,0.0202,1007.45,11.87
11700,2.0354,0.122,0.0202,1006.96,11.85
11700,2.0275,0.126,0.0201,1006.35,11.7
11700,1.9999,0.132,0.0199,1005.81,11.67
11700,1.9999,0.137,0.0199,1005.3,11.65
11700,2.0196,0.14,0.0201,1004.76,11.64
11700,2.0433,0.144,0.0203,1004.37,11.61
11800,2.0747,0.148,0.0207,1003.79,11.58
11800,2.0669,0.152,0.0206,1003.29,11.55
11800,2.0275,0.157,0.0202,1002.79,11.43
11800,2.0393,0.163,0.0203,1002.24,11.37
11800,2.0551,0.168,0.0205,1001.52,11.35
11900,2.0393,0.173,0.0204,1000.79,11.32
11900,2.0236,0.18,0.0202,999.96,11.28
11900,2.0196,0.186,0.0202,999.17,11.22
11900,2.0275,0.192,0.0203,998.42,11.21
11800,2.0196,0.198,0.0202,997.76,11.08
11800,2.0039,0.204,0.0201,997.31,10.97
11800,2.0236,0.208,0.0203,996.8,11.01
11700,2.0472,0.212,0.0205,996.34,10.91
11800,2.0236,0.215,0.0203,995.83,10.97
11900,2.0629,0.219,0.0207,995.25,10.94
11800,2.0866,0.223,0.021,994.76,10.83
11800,2.0472,0.228,0.0206,994.24,10.79
11900,2.0472,0.233,0.0206,993.62,10.76
11900,2.0472,0.238,0.0206,992.94,10.71
11900,2.0393,0.244,0.0206,992.21,10.68
11900,2.0747,0.251,0.0209,991.44,10.56
11800,2.059,0.258,0.0208,990.6,10.43
11800,2.0039,0.266,0.0202,989.84,10.4
11800,1.9803,0.273,0.02,989.2,10.37
11800,2.0118,0.278,0.0203,988.59,10.33
11800,2.0314,0.282,0.0206,987.9,10.3
11800,2.0118,0.287,0.0204,987.24,10.27
11800,1.9999,0.292,0.0203,986.74,10.27
11800,2.0157,0.296,0.0204,986.23,10.18
11800,2.0472,0.298,0.0208,985.79,10.16
11900,2.0551,0.3,0.0209,985.38,10.24
11800,2.0591,0.304,0.0209,984.9,10.11
11800,2.0473,0.308,0.0208,984.5,10.09
11900,2.0118,0.313,0.0204,983.99,10.06
11900,1.9843,0.318,0.0202,983.56,10.03
11900,2.0158,0.322,0.0205,983.18,10.01
11800,2.0473,0.324,0.0208,982.78,9.92
11900,2.0394,0.327,0.0208,982.27,9.98
11900,2.0276,0.331,0.0207,981.81,9.86
11900,1.9961,0.336,0.0203,981.37,9.93
11900,1.9961,0.341,0.0203,981.02,9.84
11900,2.0079,0.345,0.0205,980.64,9.83
11900,2.0354,0.347,0.0208,980.17,9.8
11800,2.0276,0.35,0.0207,979.75,9.7
11900,2.0079,0.354,0.0205,979.22,9.77
12000,2,0.358,0.0204,978.68,9.77
12000,1.9882,0.362,0.0203,978.25,9.73
12000,2.0039,0.366,0.0205,977.94,9.74
12000,2.0236,0.37,0.0207,977.47,9.73
12000,2.0158,0.374,0.0206,976.98,9.71
12000,2.0079,0.379,0.0206,976.55,9.6
11900,1.9882,0.384,0.0204,975.97,9.59
12000,2.0039,0.389,0.0205,975.42,9.68
12000,2,0.392,0.0205,974.85,9.59
12000,1.9725,0.397,0.0202,974.27,9.58
12100,1.9685,0.401,0.0202,973.71,9.67
12100,1.9646,0.404,0.0202,973.32,9.67
12000,1.9646,0.407,0.0202,973.05,9.57
12000,1.9646,0.409,0.0202,972.74,9.58
12000,1.9803,0.412,0.0204,972.46,9.57
11900,1.9803,0.412,0.0204,972.11,9.46
11900,1.9606,0.418,0.0202,971.71,9.44
12000,1.9528,0.422,0.0201,971.31,9.53
11900,1.9567,0.426,0.0202,970.91,9.42
11900,1.9803,0.429,0.0204,970.46,9.4
11900,1.9685,0.433,0.0203,970.04,9.4
11900,1.9567,0.438,0.0202,969.66,9.4
11900,1.9646,0.441,0.0203,969.24,9.4
11900,1.9685,0.445,0.0203,968.85,9.39
11900,1.9528,0.448,0.0202,968.41,9.4
11900,1.9646,0.452,0.0203,968.03,9.38
11900,1.9646,0.456,0.0203,967.6,9.38
11900,1.9488,0.46,0.0202,967.11,9.38
11800,1.9331,0.464,0.02,966.65,9.29
11800,1.9134,0.468,0.0198,966.21,9.26
11800,1.9173,0.471,0.0199,965.85,9.26
11900,1.9252,0.475,0.0199,965.29,9.35
11800,1.9251,0.478,0.02,964.89,9.26
11900,1.9211,0.483,0.0199,964.4,9.35
11800,1.921,0.487,0.0199,964.04,9.24
11800,1.9246,0.491,0.02,963.67,9.22
11800,1.9285,0.495,0.02,963.09,9.2
11800,1.897,0.5,0.0197,962.69,9.21
11700,1.8733,0.505,0.0195,962.09,9.11
11700,1.8576,0.51,0.0193,961.61,9.11
11700,1.8418,0.515,0.0192,961.08,9.08
11900,1.8458,0.518,0.0192,960.71,9.19
11800,1.8458,0.521,0.0192,960.27,9.18
11700,1.8458,0.524,0.0192,959.79,9.08
11700,1.8379,0.528,0.0192,959.38,9.08
11700,1.83,0.531,0.0191,958.99,9.08
11700,1.8064,0.534,0.0188,958.6,9.07
11700,1.7946,0.538,0.0187,958.23,9.07
