"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
12600,1.1193,0.037,0.0111,1012.49,14.99
13000,1.1421,0.037,0.0113,1012.43,15.3
13200,1.1649,0.044,0.0115,1012.35,15.5
12800,1.1687,0.044,0.0115,1012.03,14.9
12500,1.1573,0.049,0.0114,1011.48,14.35
12000,1.1345,0.054,0.0112,1010.89,13.56
11900,1.1307,0.06,0.0112,1010.34,13.3
12000,1.1459,0.066,0.0113,1009.78,13.29
11900,1.1763,0.073,0.0117,1009.09,13.08
12000,1.18,0.08,0.0117,1008.37,12.98
12100,1.1497,0.086,0.0114,1007.69,12.81
12200,1.1573,0.091,0.0115,1006.98,12.81
12600,1.1725,0.095,0.0117,1006.3,13
12700,1.199,0.101,0.0119,1005.58,13.04
12900,1.2104,0.106,0.012,1004.91,13.13
13100,1.1952,0.112,0.0119,1004.32,13.3
13200,1.2066,0.116,0.012,1003.72,13.34
13200,1.2333,0.119,0.0123,1003.26,13.36
13200,1.2526,0.123,0.0125,1002.7,13.38
13100,1.2527,0.126,0.0125,1002.19,13.38
13100,1.2603,0.13,0.0126,1001.64,13.39
13300,1.2907,0.133,0.0129,1001.2,13.55
13400,1.3248,0.137,0.0132,1000.81,13.71
13400,1.3552,0.142,0.0135,1000.35,13.7
13400,1.3628,0.148,0.0136,999.76,13.62
13400,1.3742,0.153,0.0138,999.3,13.57
13400,1.3894,0.158,0.0139,998.78,13.57
13600,1.4159,0.163,0.0142,998.13,13.77
13600,1.4121,0.168,0.0142,997.54,13.8
13500,1.4045,0.172,0.0141,996.96,13.78
13700,1.4235,0.175,0.0143,996.47,13.91
13500,1.4691,0.179,0.0148,995.94,13.78
13500,1.5108,0.183,0.0152,995.39,13.78
13500,1.5298,0.188,0.0154,994.84,14.31
13500,1.5564,0.192,0.0157,994.35,14.8
13600,1.5906,0.197,0.016,993.79,15.03
13600,1.6475,0.201,0.0166,993.31,15.08
13800,1.712,0.205,0.0172,992.82,15.23
13700,1.7841,0.209,0.018,992.41,15.24
13700,1.8449,0.213,0.0186,991.9,15.29
14100,1.898,0.217,0.0191,991.35,15.37
14300,1.9512,0.222,0.0197,990.88,15.59
14100,1.9929,0.227,0.0201,990.41,15.63
14000,2.0309,0.232,0.0205,989.82,15.68
13900,2.0954,0.237,0.0212,989.26,15.7
13800,2.1258,0.242,0.0215,988.69,15.73
13900,2.16,0.247,0.0219,988.02,15.77
14100,2.2283,0.251,0.0226,987.43,15.89
14400,2.2776,0.256,0.0231,986.91,15.82
14300,2.3194,0.261,0.0235,986.42,15.92
14300,2.327,0.267,0.0236,985.84,16.12
14200,2.3574,0.273,0.0239,985.23,16.47
14000,2.3574,0.278,0.0239,984.65,16.74
13900,2.3574,0.282,0.024,984.1,16.82
