"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
8010,1.6698,0.04,0.0165,1012.22,12.14
7740,1.6852,0.044,0.0167,1011.99,11.14
7950,1.6775,0.049,0.0166,1011.6,10.92
7680,1.6737,0.054,0.0166,1011.2,10.04
7690,1.6698,0.054,0.0165,1010.71,9.66
7800,1.6852,0.065,0.0167,1010.15,9.56
8010,1.6891,0.069,0.0167,1009.58,9.51
8230,1.6775,0.072,0.0166,1009.01,9.45
8390,1.7045,0.076,0.0169,1008.5,9.51
8550,1.7199,0.081,0.0171,1007.98,9.56
8640,1.7276,0.081,0.0171,1007.54,9.44
9060,1.7591,0.091,0.0175,1006.38,9.59
9290,1.7669,0.096,0.0176,1005.7,9.65
9380,1.7669,0.101,0.0176,1005.17,9.6
9490,1.763,0.105,0.0175,1004.61,9.68
9500,1.7746,0.11,0.0177,1004.11,9.61
9530,1.79,0.114,0.0178,1003.56,9.55
9600,1.8132,0.118,0.0181,1003.06,9.57
9750,1.8132,0.123,0.0181,1002.45,9.66
9830,1.8286,0.128,0.0183,1001.88,9.64
9780,1.8286,0.132,0.0183,1001.29,9.5
9870,1.8248,0.136,0.0182,1000.8,9.58
9870,1.8325,0.14,0.0183,1000.29,9.47
9860,1.844,0.144,0.0184,999.72,9.44
9880,1.8595,0.149,0.0186,999.18,9.45
10000,1.8595,0.153,0.0186,998.67,9.55
10100,1.8595,0.156,0.0186,998.28,9.58
10100,1.8749,0.159,0.0188,997.9,9.57
10100,1.8942,0.164,0.019,997.42,9.51
10100,1.8903,0.169,0.019,996.88,9.39
10200,1.8903,0.175,0.019,996.24,9.44
10200,1.8903,0.18,0.019,995.72,9.44
10300,1.8942,0.184,0.019,995.12,9.46
10300,1.8942,0.189,0.019,994.44,9.46
10400,1.9096,0.194,0.0192,993.84,9.45
10300,1.8981,0.199,0.0191,993.31,9.46
10400,1.8942,0.203,0.0191,992.66,9.51
10400,1.9058,0.207,0.0192,992.27,9.45
10500,1.9173,0.212,0.0193,991.7,9.59
10700,1.9212,0.216,0.0194,991.02,9.8
10700,1.9251,0.222,0.0194,990.47,9.73
10700,1.9173,0.228,0.0194,989.84,9.75
10700,1.9212,0.234,0.0194,989.16,9.76
10800,1.9212,0.239,0.0194,988.6,9.89
10800,1.9328,0.244,0.0196,988.06,9.93
10800,1.9444,0.251,0.0197,987.35,9.92
11000,1.9289,0.257,0.0195,986.68,10.23
11500,1.9366,0.263,0.0196,985.89,10.88
12300,1.9329,0.27,0.0196,985.23,11.87
12700,1.9177,0.276,0.0195,984.57,12.78
12700,1.9374,0.281,0.0197,983.97,13.04
12700,1.9336,0.286,0.0197,983.36,13.36
12600,1.9568,0.289,0.0199,982.79,13.68
12400,1.9876,0.294,0.0202,982.17,13.88
12200,1.9915,0.3,0.0203,981.57,14.1
11600,2.0069,0.306,0.0205,980.94,14.32
11000,2.0262,0.312,0.0207,980.26,14.49
10700,2.0339,0.319,0.0208,979.56,14.53
10500,2.0532,0.325,0.021,978.86,14.45
10200,2.0725,0.33,0.0212,978.31,14.36
10200,2.0918,0.333,0.0214,977.75,14.47
10100,2.0803,0.337,0.0213,977.26,14.5
9880,2.142,0.341,0.0219,976.75,14.43
9920,2.1729,0.345,0.0223,976.26,14.41
9900,2.2153,0.349,0.0227,975.73,14.38
9730,2.2424,0.353,0.023,975.14,14.28
9690,2.2539,0.359,0.0231,974.61,14.3
9660,2.2655,0.365,0.0233,973.92,14.26
9400,2.2848,0.372,0.0235,973.22,14.19
9130,2.2964,0.378,0.0236,972.48,14.17
9010,2.308,0.385,0.0237,971.85,14.23
8900,2.3388,0.391,0.0241,971.16,14.27
8850,2.3427,0.397,0.0241,970.48,14.16
8880,2.3659,0.402,0.0244,969.84,14.25
8760,2.4083,0.406,0.0248,969.28,14.17
8740,2.4199,0.411,0.025,968.72,14.29
8670,2.4315,0.416,0.0251,968.13,14.33
8630,2.4469,0.421,0.0253,967.61,14.2
8620,2.4662,0.425,0.0255,967.09,14.06
8460,2.4778,0.429,0.0256,966.61,14.31
8430,2.5087,0.433,0.026,966.21,14.47
8420,2.5395,0.437,0.0263,965.7,14.49
8350,2.5627,0.441,0.0265,965.24,14.55
8310,2.5666,0.444,0.0266,964.8,14.59
8280,2.5858,0.448,0.0268,964.35,14.58
8230,2.6167,0.452,0.0271,963.91,14.57
8170,2.6244,0.455,0.0272,963.47,14.54
8160,2.6399,0.459,0.0274,962.94,14.54
8170,2.6437,0.464,0.0275,962.47,14.56
8140,2.6711,0.468,0.0278,962.01,14.5
8110,2.6909,0.473,0.028,961.45,14.42
8090,2.7104,0.479,0.0282,960.82,14.4
8120,2.7065,0.486,0.0282,960.21,14.42
8210,2.7143,0.493,0.0283,959.63,14.49
8350,2.6988,0.498,0.0281,958.94,14.49
8410,2.7065,0.502,0.0282,958.47,14.46
8440,2.7143,0.505,0.0283,957.98,14.44
8430,2.7452,0.51,0.0287,957.46,14.45
8430,2.7491,0.514,0.0287,956.9,14.51
8410,2.7491,0.519,0.0287,956.43,14.49
8250,2.7568,0.524,0.0288,955.82,14.16
8440,2.7646,0.53,0.0289,955.26,14.26
8480,2.7568,0.537,0.0289,954.49,14.2
8430,2.7375,0.544,0.0287,953.79,14.08
8750,2.7375,0.551,0.0287,953,14.3
8580,2.7259,0.557,0.0286,952.36,14.29
8340,2.7028,0.564,0.0284,951.62,14.35
8230,2.6912,0.569,0.0283,950.88,14.37
8110,2.6951,0.573,0.0284,950.34,14.38
8010,2.6719,0.578,0.0281,949.76,14.41
7850,2.7105,0.582,0.0286,949.2,14.46
7640,2.7375,0.587,0.0289,948.69,14.39
7570,2.7452,0.591,0.029,948.25,14.42
7440,2.7761,0.596,0.0293,947.7,14.4
7380,2.8032,0.601,0.0296,947.18,14.43
7330,2.8341,0.607,0.0299,946.63,14.43
7360,2.8534,0.614,0.0302,945.99,14.41
7360,2.8649,0.62,0.0303,945.31,14.41
7350,2.8765,0.627,0.0305,944.64,14.42
7350,2.8727,0.633,0.0304,944.02,14.4
7340,2.8611,0.639,0.0303,943.38,14.39
7320,2.8727,0.643,0.0305,942.68,14.37
7240,2.9036,0.647,0.0308,942.1,14.27
7270,2.9229,0.651,0.031,941.64,14.29
7230,2.9499,0.654,0.0313,941.16,14.3
7200,2.9731,0.658,0.0316,940.71,14.32
7260,2.9924,0.662,0.0318,940.24,14.43
7250,2.9962,0.666,0.0319,939.8,14.4
7210,2.9924,0.67,0.0319,939.35,14.32
7230,2.9962,0.674,0.0319,938.89,14.32
7230,3.0001,0.678,0.032,938.44,14.31
7220,3.0039,0.682,0.032,938.01,14.31
7230,3.0155,0.685,0.0322,937.56,14.29
7330,3.0232,0.689,0.0323,937.07,14.37
7610,3.0236,0.693,0.0323,936.71,14.47
7670,3.0241,0.696,0.0323,936.31,14.4
7720,3.0321,0.7,0.0324,935.83,14.39
7910,3.0206,0.703,0.0323,935.41,14.47
7960,3.0128,0.707,0.0322,935.01,14.48
7970,3.0051,0.71,0.0322,934.53,14.48
7990,2.9858,0.714,0.032,934.14,14.47
8030,2.9742,0.717,0.0319,933.7,14.57
7900,2.9819,0.721,0.0319,933.33,14.52
7830,2.9781,0.725,0.0319,932.93,14.39
7890,2.9588,0.729,0.0317,932.5,14.48
7820,2.9626,0.733,0.0318,932.08,14.52
7770,2.9588,0.736,0.0318,931.64,14.59
7750,2.9549,0.74,0.0317,931.29,14.73
7650,2.9395,0.744,0.0316,930.8,14.62
7600,2.9395,0.748,0.0316,930.34,14.64
7560,2.9589,0.752,0.0318,929.9,14.62
7650,2.9627,0.757,0.0319,929.43,14.7
7700,2.9395,0.761,0.0316,929,14.62
7820,2.928,0.765,0.0315,928.5,14.71
7770,2.928,0.769,0.0315,928.08,14.71
7770,2.9434,0.772,0.0317,927.62,14.76
7750,2.9434,0.776,0.0317,927.16,14.76
7670,2.9318,0.78,0.0316,926.73,14.82
7520,2.9125,0.784,0.0314,926.28,14.87
7410,2.928,0.788,0.0316,925.89,14.87
7430,2.9395,0.791,0.0318,925.52,14.95
7200,2.9434,0.795,0.0318,925.17,14.78
7150,2.9627,0.799,0.032,924.75,14.76
7100,2.9743,0.803,0.0322,924.26,14.77
7100,2.9743,0.808,0.0322,923.73,14.79
7020,2.9704,0.812,0.0322,923.37,14.74
6980,2.9666,0.815,0.0321,923.03,14.75
6940,2.9782,0.819,0.0323,922.61,14.75
6860,3.0129,0.822,0.0327,922.26,14.63
6820,3.0245,0.826,0.0328,921.75,14.65
6780,3.0091,0.831,0.0327,921.3,14.63
6760,3.0091,0.836,0.0327,920.79,14.63
6640,3.0361,0.84,0.033,920.37,14.53
6630,3.0361,0.844,0.033,919.84,14.65
6580,3.0438,0.847,0.0331,919.41,14.53
6530,3.0554,0.851,0.0332,919.09,14.53
6550,3.0632,0.855,0.0333,918.78,14.62
6450,3.0786,0.858,0.0335,918.38,14.42
6470,3.1018,0.862,0.0338,917.9,14.53
6410,3.1056,0.866,0.0338,917.53,14.53
6330,3.1095,0.87,0.0339,917.19,14.42
6230,3.1172,0.874,0.034,916.82,14.46
6150,3.1251,0.878,0.0341,916.38,14.61
6140,3.1408,0.881,0.0343,915.97,14.61
6110,3.1606,0.886,0.0345,915.58,14.61
6100,3.1763,0.89,0.0347,915.24,14.6
6070,3.1957,0.894,0.0349,914.85,14.6
6060,3.2073,0.898,0.0351,914.43,14.6
5980,3.2189,0.901,0.0352,914.07,14.46
6010,3.2498,0.905,0.0356,913.63,14.48
5970,3.2769,0.909,0.0359,913.28,14.44
5990,3.2692,0.913,0.0358,912.75,14.44
6000,3.273,0.917,0.0359,912.25,14.42
5920,3.2807,0.921,0.036,911.89,14.33
5940,3.2962,0.925,0.0362,911.52,14.34
5960,3.2962,0.93,0.0362,911.08,14.41
5920,3.3155,0.934,0.0364,910.67,14.28
5920,3.3271,0.937,0.0366,910.28,14.28
