"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
12500,2.1752,0.033,0.0215,1013.65,15.33
12500,2.2149,0.034,0.0219,1013.08,15.31
11800,2.2746,0.037,0.0225,1013.15,14.4
11200,2.2905,0.043,0.0226,1013.1,13.41
11100,2.2706,0.049,0.0224,1012.73,12.89
11400,2.2428,0.055,0.0222,1011.93,12.87
11800,2.2428,0.06,0.0222,1011.18,12.99
11900,2.2627,0.066,0.0224,1010.38,12.86
12000,2.2865,0.071,0.0226,1009.69,12.84
12200,2.2587,0.077,0.0224,1009.15,12.85
12300,2.2786,0.082,0.0226,1008.57,12.82
12400,2.2825,0.087,0.0226,1008.05,12.79
12500,2.2706,0.092,0.0225,1007.53,12.74
12600,2.2865,0.098,0.0227,1006.88,12.72
12700,2.3188,0.105,0.023,1006.22,12.68
12800,2.2874,0.112,0.0227,1005.53,12.63
12900,2.2596,0.117,0.0225,1004.9,12.6
12900,2.2397,0.12,0.0223,1004.37,12.56
12900,2.2715,0.124,0.0226,1003.85,12.52
13000,2.2794,0.128,0.0227,1003.28,12.51
13000,2.2794,0.132,0.0227,1002.74,12.46
13000,2.2675,0.137,0.0226,1002.26,12.41
13000,2.2596,0.141,0.0226,1001.78,12.4
13100,2.2675,0.144,0.0226,1001.3,12.43
13100,2.2715,0.148,0.0227,1000.82,12.42
13100,2.2675,0.152,0.0227,1000.35,12.41
13200,2.2635,0.155,0.0226,999.95,12.43
13200,2.2556,0.158,0.0226,999.54,12.41
13200,2.2596,0.161,0.0226,999.08,12.43
13200,2.2596,0.165,0.0226,998.59,12.38
13200,2.2596,0.169,0.0226,998.11,12.33
13300,2.2397,0.174,0.0225,997.62,12.34
13300,2.2158,0.177,0.0222,997.16,12.37
13300,2.2241,0.179,0.0223,996.72,12.35
13300,2.2405,0.183,0.0225,996.27,12.32
13400,2.2485,0.187,0.0226,995.78,12.29
13400,2.2405,0.191,0.0225,995.28,12.25
13500,2.2286,0.196,0.0224,994.76,12.31
13400,2.2286,0.201,0.0224,994.26,12.27
13300,2.2127,0.206,0.0223,993.67,12.2
13400,2.1808,0.21,0.022,993.08,12.21
13400,2.1808,0.215,0.022,992.57,12.19
13400,2.1769,0.219,0.0219,992.06,12.18
13400,2.1649,0.223,0.0218,991.56,12.19
13400,2.1968,0.227,0.0222,991.03,12.29
13600,2.1928,0.233,0.0221,990.47,12.39
13600,2.153,0.238,0.0217,989.91,12.39
13600,2.1371,0.242,0.0216,989.37,12.38
13600,2.1211,0.247,0.0215,988.82,12.4
13600,2.0933,0.251,0.0212,988.28,12.4
13600,2.0774,0.255,0.021,987.73,12.38
13600,2.0615,0.259,0.0209,987.2,12.36
13600,2.0535,0.263,0.0208,986.69,12.36
13600,2.0495,0.267,0.0208,986.14,12.34
13700,2.0257,0.272,0.0206,985.63,12.35
13700,2.0059,0.276,0.0204,985.12,12.33
13700,1.9905,0.28,0.0202,984.64,12.3
13700,1.9827,0.284,0.0201,984.18,12.31
13600,1.9668,0.288,0.02,983.7,12.28
13700,1.9588,0.292,0.0199,983.19,12.28
13600,1.9548,0.297,0.0199,982.67,12.23
13600,1.9429,0.302,0.0198,982.12,12.18
13600,1.9429,0.308,0.0198,981.49,12.12
13600,1.915,0.315,0.0195,980.82,12.08
13600,1.8951,0.321,0.0193,980.21,12.04
13600,1.8712,0.325,0.0191,979.64,12.02
13600,1.8712,0.329,0.0191,979.15,11.98
13600,1.8712,0.332,0.0191,978.67,11.97
13600,1.8752,0.336,0.0192,978.23,11.92
13600,1.8593,0.341,0.019,977.75,11.91
13700,1.8633,0.345,0.0191,977.25,11.86
13700,1.8633,0.35,0.0191,976.72,11.83
13700,1.8394,0.355,0.0188,976.17,11.77
13700,1.8155,0.36,0.0186,975.64,11.76
13700,1.8155,0.364,0.0186,975.14,11.74
13800,1.8035,0.368,0.0185,974.63,11.78
13800,1.7996,0.372,0.0185,974.19,11.73
13800,1.7959,0.375,0.0184,973.71,11.71
13800,1.7764,0.38,0.0183,973.24,11.68
13900,1.7645,0.383,0.0181,972.8,11.68
13900,1.7605,0.387,0.0181,972.35,11.67
13900,1.7565,0.39,0.0181,971.89,11.63
13900,1.7406,0.394,0.0179,971.45,11.62
13900,1.7446,0.399,0.018,971.02,11.6
13900,1.7366,0.403,0.0179,970.55,11.58
13900,1.7246,0.407,0.0178,970.09,11.55
13900,1.7167,0.41,0.0177,969.61,11.53
13900,1.7047,0.415,0.0176,969.19,11.53
13900,1.6888,0.419,0.0174,968.73,11.54
14000,1.6848,0.423,0.0174,968.28,11.56
14100,1.6808,0.427,0.0174,967.83,11.58
14100,1.6768,0.43,0.0173,967.38,11.58
14100,1.6649,0.434,0.0172,966.94,11.59
14100,1.6529,0.438,0.0171,966.48,11.56
14100,1.645,0.442,0.017,966.06,11.54
14100,1.641,0.445,0.017,965.62,11.57
