"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
8930,2.5377,0.037,0.025,1014.97,13.65
8640,2.6031,0.036,0.0256,1014.9,13.19
8420,2.6917,0.037,0.0265,1014.8,12.6
8270,2.7615,0.039,0.0272,1014.6,11.86
8270,2.8199,0.043,0.0278,1014.22,11.46
8340,2.8238,0.047,0.0279,1013.87,11.38
8380,2.8777,0.051,0.0284,1013.46,11.17
8570,2.8854,0.056,0.0285,1012.87,11.09
8750,2.9008,0.062,0.0287,1012.31,11.1
8740,2.9008,0.069,0.0287,1011.6,11.05
8810,2.9201,0.075,0.0289,1010.9,11.11
8900,2.9663,0.079,0.0294,1010.22,11.05
8980,2.9817,0.084,0.0295,1009.42,11.06
9010,3.0087,0.089,0.0298,1008.8,11
9000,3.0511,0.095,0.0303,1008.07,10.88
8960,3.0819,0.101,0.0306,1007.4,10.85
8890,3.0973,0.107,0.0308,1006.72,10.74
8940,3.1474,0.112,0.0313,1005.91,10.7
8970,3.1474,0.118,0.0313,1005.21,10.65
9020,3.1397,0.123,0.0313,1004.51,10.59
9050,3.1513,0.129,0.0314,1003.77,10.51
9150,3.1628,0.134,0.0315,1003.16,10.62
9060,3.2052,0.139,0.032,1002.53,10.48
9030,3.209,0.145,0.032,1001.81,10.65
8970,3.2245,0.151,0.0322,1001.09,10.55
8850,3.2322,0.157,0.0323,1000.37,10.79
8770,3.2514,0.163,0.0325,999.71,11.02
8670,3.2437,0.169,0.0325,998.97,11.08
8510,3.2861,0.175,0.0329,998.14,11.19
8490,3.3208,0.181,0.0333,997.4,11.16
8520,3.34,0.188,0.0335,996.71,10.7
8570,3.3516,0.194,0.0337,995.99,10.7
8530,3.3593,0.199,0.0338,995.3,10.73
8460,3.3747,0.205,0.0339,994.62,10.63
8450,3.3362,0.211,0.0336,993.97,10.63
8590,3.4055,0.215,0.0343,993.32,10.73
8670,3.4248,0.221,0.0345,992.61,10.87
8590,3.3747,0.228,0.034,991.86,10.77
8570,3.3863,0.232,0.0342,991.33,10.76
8570,3.4325,0.236,0.0346,990.66,10.81
8540,3.4402,0.241,0.0347,990.08,10.75
8580,3.4058,0.246,0.0344,989.45,10.77
8550,3.4178,0.251,0.0346,988.93,10.76
8510,3.4567,0.255,0.035,988.32,10.77
8550,3.4645,0.26,0.0351,987.75,10.75
8600,3.4146,0.266,0.0346,987.23,10.74
8570,3.403,0.27,0.0345,986.73,10.77
8530,3.4261,0.273,0.0347,986.32,10.77
8500,3.5032,0.276,0.0355,985.84,10.7
8580,3.538,0.28,0.0359,985.36,10.65
8490,3.538,0.286,0.0359,984.79,10.6
8430,3.5033,0.291,0.0356,984.18,10.51
8440,3.4879,0.296,0.0355,983.67,10.44
8300,3.5187,0.3,0.0358,983.12,10.33
8380,3.5303,0.304,0.0359,982.61,10.25
8460,3.538,0.309,0.036,981.99,10.21
8540,3.5534,0.315,0.0362,981.44,10.19
8390,3.5187,0.321,0.0359,980.8,10.09
8460,3.5033,0.326,0.0357,980.17,10.2
8360,3.5688,0.329,0.0364,979.64,10.07
8300,3.5958,0.334,0.0367,979.07,10.06
8260,3.5919,0.341,0.0367,978.42,9.91
8340,3.6035,0.347,0.0369,977.73,9.87
8340,3.5881,0.353,0.0367,977.06,9.86
8330,3.5765,0.36,0.0366,976.37,9.8
7960,3.6035,0.366,0.0369,975.63,10.1
8030,3.5919,0.372,0.0368,974.87,9.8
8250,3.6151,0.379,0.0371,974.04,9.63
8340,3.6189,0.386,0.0372,973.21,9.48
8400,3.6189,0.393,0.0372,972.39,9.35
8350,3.5919,0.401,0.037,971.52,9.32
8270,3.6074,0.409,0.0372,970.71,9.31
8130,3.5804,0.417,0.0369,969.87,9.37
8170,3.5804,0.424,0.0369,969.12,9.3
8040,3.5842,0.431,0.037,968.31,9.3
7710,3.5765,0.438,0.037,967.53,9.64
7500,3.5881,0.444,0.0371,966.74,9.91
7460,3.6305,0.449,0.0376,965.97,10.09
7310,3.6806,0.454,0.0381,965.23,10.02
7280,3.723,0.46,0.0386,964.6,9.99
7170,3.7153,0.467,0.0385,963.85,9.91
7110,3.6922,0.473,0.0383,963.12,9.92
7060,3.7114,0.478,0.0386,962.56,9.84
7120,3.7692,0.482,0.0392,961.9,9.9
7130,3.8232,0.487,0.0398,961.39,9.82
7090,3.8425,0.492,0.04,960.8,9.7
7060,3.8617,0.497,0.0402,960.25,9.62
6990,3.908,0.502,0.0407,959.73,9.61
6930,3.9504,0.508,0.0412,959.01,9.6
6860,3.9504,0.514,0.0412,958.25,9.51
6870,3.9158,0.521,0.0409,957.57,9.49
6790,3.9274,0.527,0.041,956.88,9.38
6780,3.9544,0.532,0.0414,956.15,9.5
6750,3.9852,0.538,0.0417,955.6,9.51
6770,4.0237,0.543,0.0421,955.01,9.53
6830,4.0777,0.548,0.0427,954.39,9.48
6820,4.1008,0.553,0.043,953.77,9.39
6810,4.0892,0.559,0.0429,953.12,9.36
6880,4.07,0.565,0.0427,952.43,9.47
6840,4.0892,0.57,0.043,951.89,9.45
6790,4.1278,0.575,0.0434,951.25,9.36
6760,4.1933,0.58,0.0441,950.59,9.35
6780,4.2203,0.585,0.0444,950.08,9.33
6810,4.2126,0.59,0.0444,949.5,9.32
6810,4.2126,0.595,0.0444,948.94,9.31
6730,4.2511,0.601,0.0448,948.3,9.2
6760,4.2319,0.606,0.0447,947.6,9.17
