"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
14200,2.193,0.034,0.0217,1011.62,16.06
14200,2.2047,0.034,0.0218,1011.55,16.07
13500,2.2318,0.034,0.0221,1011.43,15.45
13100,2.2396,0.033,0.0221,1011.23,14.83
13000,2.2396,0.033,0.0222,1010.9,14.56
13200,2.2357,0.035,0.0221,1010.4,14.46
13400,2.2396,0.039,0.0222,1009.76,14.41
13500,2.2512,0.051,0.0223,1009.18,14.32
13600,2.2551,0.058,0.0224,1008.63,14.27
13600,2.2357,0.058,0.0222,1007.92,14.1
13800,2.2707,0.065,0.0225,1007.32,14.2
13900,2.3172,0.072,0.023,1006.83,14.15
13800,2.3211,0.078,0.0231,1006.24,13.99
13900,2.3056,0.083,0.0229,1005.55,13.94
14000,2.2862,0.088,0.0227,1004.92,13.95
14100,2.3095,0.094,0.023,1004.3,14.01
14200,2.3095,0.101,0.023,1003.74,14.03
14100,2.325,0.11,0.0232,1003.22,13.9
14200,2.3211,0.114,0.0231,1002.71,13.98
14000,2.3289,0.114,0.0232,1002.22,13.89
14000,2.3328,0.118,0.0233,1001.65,13.9
14100,2.325,0.121,0.0232,1001.18,13.89
14100,2.3211,0.126,0.0232,1000.75,13.88
14200,2.3172,0.13,0.0232,1000.22,13.84
14200,2.3017,0.133,0.023,999.72,13.81
14300,2.2939,0.137,0.023,999.19,13.79
14300,2.2978,0.142,0.023,998.59,13.77
14300,2.2901,0.153,0.0229,998.04,13.75
14200,2.2629,0.158,0.0227,997.52,13.58
14300,2.2551,0.158,0.0226,996.87,13.54
14300,2.259,0.164,0.0227,996.15,13.52
14300,2.2396,0.17,0.0225,995.53,13.51
14200,2.2357,0.176,0.0225,994.83,13.37
14400,2.2357,0.182,0.0225,994,13.48
14500,2.2124,0.188,0.0223,993.25,13.47
14500,2.1891,0.193,0.0221,992.63,13.47
14600,2.2124,0.2,0.0223,991.77,13.46
14700,2.2241,0.21,0.0224,991.15,13.57
14600,2.1891,0.217,0.0221,990.41,13.45
14600,2.1736,0.217,0.022,989.7,13.44
14600,2.1581,0.223,0.0218,988.93,13.43
14700,2.1387,0.229,0.0216,988.27,13.42
14700,2.1309,0.236,0.0216,987.54,13.41
14900,2.1154,0.242,0.0214,986.81,13.55
14900,2.0921,0.247,0.0212,986.12,13.56
14800,2.0689,0.252,0.021,985.5,13.42
14800,2.0844,0.258,0.0212,984.94,13.42
14800,2.0961,0.269,0.0213,984.42,13.43
14800,2.0689,0.274,0.021,983.85,13.42
14800,2.0417,0.274,0.0208,983.28,13.39
14700,2.0223,0.278,0.0206,982.68,13.37
14600,1.9874,0.283,0.0202,981.92,13.27
14700,1.9602,0.288,0.02,981.24,13.36
14700,1.9757,0.295,0.0201,980.52,13.35
14700,1.9641,0.3,0.02,979.95,13.34
14600,1.933,0.305,0.0197,979.33,13.23
14600,1.9059,0.31,0.0195,978.72,13.21
14600,1.9059,0.321,0.0195,978.12,13.2
14600,1.8903,0.327,0.0193,977.57,13.2
14600,1.8632,0.327,0.0191,976.95,13.2
14600,1.8593,0.332,0.019,976.29,13.17
14600,1.871,0.337,0.0192,975.6,13.16
14600,1.8632,0.341,0.0191,974.9,13.13
14600,1.8322,0.347,0.0188,974.33,13.15
14500,1.8128,0.353,0.0186,973.77,13.03
14500,1.8011,0.36,0.0185,973.2,13.01
14600,1.7935,0.365,0.0184,972.64,13.03
14600,1.7897,0.374,0.0184,972.08,13.01
