"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
5.74e-23,1.731,0.039,0.0172,1008.29,-200.1
5.75e-23,1.7674,0.043,0.0176,1005.79,-200.1
5.76e-23,1.7512,0.048,0.0174,1004.61,-200.1
5.76e-23,1.7714,0.055,0.0176,1004.34,-200.1
5.77e-23,1.7795,0.061,0.0177,1003.6,-200.1
5.77e-23,1.7471,0.066,0.0174,1002.19,-200.1
5.77e-23,1.735,0.071,0.0173,1002.57,-200.1
4.87,1.7916,0.076,0.0179,1002.43,-68.67
5.78e-23,1.8159,0.081,0.0181,1001.04,-200.1
5.79e-23,1.8078,0.087,0.0181,999.13,-200.1
5.79e-23,1.8321,0.094,0.0183,1000.04,-200.1
5.8e-23,1.8361,0.101,0.0184,999.09,-200.1
5.81e-23,1.8159,0.107,0.0182,997.88,-200.1
5.81e-23,1.7957,0.111,0.018,997.38,-200.1
9780,1.7916,0.115,0.018,996.83,10.05
9900,1.8482,0.12,0.0185,998.36,10.26
5.82e-23,1.828,0.126,0.0184,995.54,-200.1
9760,1.828,0.131,0.0184,995.43,10.01
5.83e-23,1.8644,0.137,0.0187,994.8,-200.1
5.83e-23,1.8644,0.143,0.0188,993.67,-200.1
5.84e-23,1.8685,0.15,0.0188,992.76,-200.1
5.84e-23,1.8442,0.155,0.0186,992.03,-200.11
9850,1.8118,0.159,0.0183,992.09,10.06
9840,1.8078,0.163,0.0182,991.58,10.01
5.89e-23,1.8401,0.167,0.0186,991.06,-200.11
5.91e-23,1.8523,0.171,0.0187,990.41,-200.11
9870,1.8442,0.176,0.0186,989.77,9.92
5.91e-23,1.8604,0.181,0.0188,989.55,-200.11
5.92e-23,1.8887,0.187,0.0191,989.03,-200.11
5.92e-23,1.8806,0.193,0.019,987.95,-200.11
5.93e-23,1.8725,0.198,0.019,987.21,-200.11
5.94e-23,1.8442,0.204,0.0187,986.34,-200.11
5.97e-23,1.824,0.209,0.0185,985.59,-200.11
5.98e-23,1.8159,0.213,0.0184,985.22,-200.11
5.99e-23,1.824,0.218,0.0185,984.62,-200.11
6.09e-23,1.82,0.223,0.0185,983.75,-200.11
6.1e-23,1.8281,0.228,0.0186,983.11,-200.11
6.1e-23,1.8079,0.232,0.0184,983.23,-200.11
6.1e-23,1.7957,0.237,0.0183,982.73,-200.11
6.11e-23,1.7755,0.242,0.0181,981.19,-200.11
6.11e-23,1.7795,0.247,0.0181,981.29,-200.11
11700,1.7674,0.252,0.018,979.67,11.87
11500,1.7957,0.256,0.0183,979.72,11.68
6.12e-23,1.8362,0.261,0.0187,979.62,-200.11
6.12e-23,1.8726,0.266,0.0191,978.81,-200.11
6.13e-23,1.8968,0.272,0.0194,977.96,-200.11
11600,1.8928,0.278,0.0194,977.76,11.8
11600,1.9211,0.282,0.0197,976.83,11.71
2.57,1.9575,0.287,0.02,976.61,-73.65
10500,2.0182,0.293,0.0207,975.75,12.09
