"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
11800,1.9958,0.037,0.0196,1017.89,15.5
12000,2.0067,0.037,0.0197,1017.76,15.64
12500,2.1561,0.037,0.0212,1017.67,15.98
11300,2.2373,0.038,0.022,1017.56,14.78
10100,2.2529,0.043,0.0221,1017.34,13.03
9770,2.2299,0.049,0.0219,1016.96,12.2
9660,2.203,0.055,0.0217,1016.4,11.71
9780,2.2415,0.061,0.0221,1015.85,11.57
9880,2.2415,0.067,0.0221,1015.21,11.47
10000,2.2184,0.073,0.0219,1014.51,11.32
10200,2.2377,0.079,0.0221,1013.83,11.29
10400,2.2684,0.085,0.0224,1013.09,11.36
10500,2.2684,0.092,0.0224,1012.42,11.35
10700,2.2761,0.099,0.0225,1011.66,11.45
10900,2.2223,0.105,0.022,1010.95,11.52
10900,2.2953,0.11,0.0227,1010.23,11.44
11000,2.3375,0.114,0.0232,1009.54,11.56
11100,2.3336,0.121,0.0231,1008.88,11.58
11200,2.2991,0.127,0.0228,1008.15,11.58
11300,2.3298,0.132,0.0231,1007.46,11.67
11400,2.3682,0.137,0.0235,1006.82,11.67
11500,2.3797,0.144,0.0237,1006.14,11.69
11700,2.3951,0.15,0.0238,1005.46,11.9
11700,2.4027,0.157,0.0239,1004.68,11.81
11800,2.3989,0.163,0.0239,1003.98,11.81
12100,2.4104,0.168,0.024,1003.3,11.99
12300,2.4181,0.173,0.0241,1002.62,12.04
12500,2.4066,0.178,0.024,1001.97,12.22
12600,2.4219,0.183,0.0242,1001.34,12.38
12600,2.4334,0.187,0.0243,1000.73,12.45
12900,2.4488,0.193,0.0245,1000.13,12.81
12900,2.4603,0.199,0.0246,999.42,12.93
12800,2.4296,0.206,0.0243,998.66,12.94
12800,2.4565,0.212,0.0246,997.95,12.93
12700,2.491,0.218,0.025,997.19,12.94
12600,2.4794,0.224,0.0249,996.48,12.78
12500,2.5025,0.228,0.0251,995.83,12.84
12600,2.5254,0.233,0.0254,995.16,13.01
12500,2.5252,0.239,0.0254,994.51,12.97
12400,2.5483,0.228,0.0256,993.87,12.86
12300,2.6057,0.233,0.0262,993.19,12.73
12400,2.636,0.239,0.0266,992.5,12.84
12300,2.6245,0.245,0.0265,991.74,12.75
12200,2.6052,0.25,0.0263,991.1,12.71
12300,2.6396,0.256,0.0267,990.45,12.76
12200,2.6895,0.263,0.0272,989.82,12.63
12100,2.6741,0.275,0.027,989.18,12.52
12100,2.6972,0.279,0.0273,988.52,12.36
12100,2.7125,0.279,0.0275,987.95,12.45
12000,2.7125,0.285,0.0275,987.28,12.36
12000,2.7048,0.29,0.0274,986.64,12.37
12000,2.7087,0.295,0.0275,986.02,12.35
11900,2.7318,0.301,0.0277,985.39,12.31
12000,2.7625,0.306,0.0281,984.73,12.28
12000,2.8047,0.311,0.0285,984.02,12.23
11900,2.7394,0.316,0.0279,983.29,12.12
11900,2.7586,0.329,0.0281,982.54,12.09
11900,2.8239,0.335,0.0288,981.78,12.08
11900,2.8008,0.335,0.0285,981.04,12.02
11900,2.7701,0.342,0.0283,980.31,11.99
11900,2.8085,0.349,0.0287,979.61,11.88
11900,2.8584,0.356,0.0292,978.75,11.83
11800,2.7893,0.362,0.0285,978.1,11.7
11800,2.797,0.369,0.0286,977.45,11.66
11800,2.8162,0.376,0.0288,976.75,11.66
11700,2.8085,0.381,0.0288,975.92,11.55
11700,2.82,0.392,0.0289,975.12,11.63
11700,2.843,0.398,0.0292,974.31,11.49
11600,2.8584,0.398,0.0294,973.57,11.53
11600,2.8277,0.404,0.0291,972.85,11.56
11500,2.8737,0.411,0.0296,972.14,11.52
11500,2.9083,0.418,0.0299,971.52,11.51
11500,2.8814,0.424,0.0297,970.88,11.38
11500,2.8852,0.43,0.0297,970.2,11.36
11500,2.8968,0.436,0.0299,969.56,11.33
11500,2.8929,0.442,0.0299,969,11.31
