alt
80.581
78.146
76.357
74.594
73.18
71.812
70.657
69.44
68.392
67.243
66.245
65.115
64.13
63.004
62.021
60.902
59.924
58.816
57.846
56.752
55.794
54.717
53.773
52.716
51.788
50.754
49.844
48.835
47.946
46.962
46.092
45.134
44.286
43.355
42.529
41.627
40.825
39.951
39.173
38.328
37.574
36.759
36.03
35.244
34.539
33.782
33.101
32.372
31.716
31.015
30.382
29.701
29.085
28.423
27.824
27.18
26.596
25.971
25.402
24.794
24.24
23.648
23.108
22.531
22.004
21.438
20.92
20.364
19.855
19.309
18.807
18.269
17.773
17.243
16.753
16.222
15.731
15.198
14.706
14.17
13.674
13.134
12.633
12.086
11.578
11.021
10.504
9.936
9.409
8.846
8.32
7.943
7.582
7.237
6.905
6.585
6.277
5.98
5.692
5.413
5.142
4.879
4.623
4.375
4.132
3.896
3.665
3.439
3.219
3.074
2.932
2.792
2.654
2.517
2.382
2.249
2.118
1.988
1.86
1.759
1.659
1.584
1.51
1.436
1.363
1.29
1.218
1.146
1.075
1.004
0.934
0.864
0.795
0.726
0.657
0.589
0.521
0.454
0.387
0.32
0.254
0.189
0.123
0.058
-0.006


