"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
10000,1.714,0.037,0.0169,1012.71,15.24
9670,1.8039,0.039,0.0178,1012.6,14.75
9160,1.8288,0.043,0.0181,1012.44,13.73
9150,1.8208,0.048,0.018,1012.02,13.23
9160,1.8168,0.054,0.018,1011.63,12.81
9470,1.8127,0.059,0.0179,1011.11,12.87
9530,1.8127,0.065,0.0179,1010.64,12.66
9710,1.825,0.07,0.0181,1010.01,12.57
9840,1.8413,0.077,0.0182,1009.4,12.5
10000,1.8495,0.082,0.0183,1008.62,12.42
10200,1.8577,0.088,0.0184,1008.02,12.36
10200,1.8821,0.094,0.0187,1007.44,12.32
10300,1.8903,0.1,0.0188,1006.78,12.27
10400,1.8862,0.105,0.0187,1006.1,12.23
10500,1.8944,0.109,0.0188,1005.43,12.19
10600,1.9148,0.114,0.0191,1004.82,12.16
10600,1.9475,0.12,0.0194,1004.28,12.14
10700,1.9434,0.126,0.0194,1003.64,12.06
10700,1.9475,0.132,0.0194,1002.96,11.92
10800,1.9393,0.137,0.0194,1002.18,11.88
10900,1.9597,0.142,0.0196,1001.54,11.92
10900,1.9842,0.146,0.0198,1000.87,11.78
10900,2.0087,0.151,0.0201,1000.32,11.76
10900,1.9924,0.157,0.0199,999.7,11.74
11000,1.9842,0.162,0.0199,999.02,11.71
11100,2.0087,0.167,0.0201,998.39,11.64
11100,1.9965,0.173,0.02,997.7,11.5
11200,2.0169,0.178,0.0202,997.16,11.46
11300,2.025,0.184,0.0203,996.47,11.51
11300,1.9842,0.19,0.0199,995.74,11.38
11400,1.9801,0.195,0.0199,995.07,11.35
11500,2.0087,0.201,0.0202,994.48,11.42
11400,2.0169,0.206,0.0203,993.86,11.28
11500,2.0046,0.212,0.0202,993.14,11.24
11600,1.9883,0.218,0.02,992.5,11.2
11700,1.9883,0.223,0.02,991.83,11.16
11500,1.9924,0.228,0.0201,991.23,11.03
11500,1.9965,0.234,0.0202,990.54,11
11600,1.9761,0.24,0.02,989.82,10.97
11700,1.9679,0.245,0.0199,989.12,10.93
11700,2.0087,0.25,0.0203,988.49,10.91
11700,2.0005,0.255,0.0202,987.97,10.88
11700,1.9801,0.26,0.0201,987.34,10.76
12100,1.9842,0.266,0.0201,986.74,11
12200,1.972,0.272,0.02,986.16,11
12400,1.9312,0.277,0.0196,985.47,11.07
12500,1.9108,0.281,0.0194,984.83,11.09
12400,1.8985,0.286,0.0193,984.22,10.97
12700,1.8863,0.292,0.0192,983.6,11.2
12700,1.8618,0.298,0.0189,983.02,11.21
12600,1.825,0.303,0.0186,982.29,11.07
12600,1.8332,0.309,0.0187,981.72,11.06
12700,1.8455,0.315,0.0188,981.1,11.15
12700,1.8332,0.322,0.0187,980.43,11.06
12700,1.8046,0.327,0.0184,979.73,11.04
12700,1.7801,0.333,0.0182,979.06,11.03
12700,1.7801,0.338,0.0182,978.36,11.01
12500,1.7598,0.342,0.018,977.64,10.91
12600,1.7721,0.342,0.0181,977.06,10.89
12500,1.7437,0.353,0.0179,976.46,10.88
