"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
7800,2.7359,0.031,0.0272,1007.42,12.57
7900,2.7559,0.033,0.0274,1007.08,12.51
7930,2.7599,0.038,0.0274,1006.55,12.35
7970,2.7599,0.043,0.0274,1005.94,12.26
7870,2.7758,0.05,0.0276,1005.29,11.98
7900,2.7878,0.058,0.0278,1004.52,11.92
7920,2.7958,0.065,0.0279,1003.83,11.9
7830,2.8597,0.073,0.0285,1003.05,11.77
7850,2.8198,0.078,0.0281,1002.32,11.74
7890,2.8198,0.085,0.0282,1001.64,11.72
7890,2.9156,0.097,0.0291,1000.62,11.57
7870,2.9037,0.101,0.029,1000.25,11.53
7820,2.9915,0.105,0.0299,999.97,11.51
7880,2.9795,0.104,0.0298,999.67,11.51
7940,2.9955,0.104,0.03,999.48,11.49
7980,2.9915,0.105,0.0299,999.26,11.48
8010,3.0276,0.107,0.0303,999.05,11.47
7930,3.0039,0.11,0.0301,998.73,11.37
7920,2.9883,0.114,0.0299,998.31,11.42
7880,2.9886,0.118,0.0299,997.87,11.32
7920,3.0407,0.122,0.0305,997.4,11.3
7890,3.0407,0.126,0.0305,996.89,11.18
7940,3.0088,0.131,0.0302,996.36,11.12
7950,3.0247,0.136,0.0304,995.86,11.1
7970,3.0487,0.14,0.0306,995.41,11.09
7970,3.0287,0.143,0.0304,994.94,11.07
7960,3.0407,0.146,0.0306,994.54,11.05
7960,3.0407,0.15,0.0306,994.1,11.03
7960,3.0287,0.154,0.0305,993.63,10.91
7990,3.0327,0.158,0.0305,993.19,10.88
8000,3.0527,0.163,0.0307,992.76,10.87
8010,3.0727,0.166,0.031,992.29,10.84
7950,3.0807,0.17,0.0311,991.77,10.73
8040,3.0767,0.174,0.031,991.19,10.76
8020,3.0647,0.179,0.0309,990.55,10.65
7830,3.0647,0.185,0.031,989.91,10.61
7760,3.0807,0.191,0.0311,989.27,10.61
7770,3.0407,0.196,0.0308,988.7,10.58
7730,3.0407,0.2,0.0308,988.17,10.58
7820,3.0847,0.205,0.0312,987.75,10.55
7790,3.1166,0.208,0.0316,987.25,10.43
7750,3.1087,0.211,0.0315,986.72,10.4
7740,3.0887,0.215,0.0313,986.09,10.37
7750,3.0888,0.22,0.0313,985.57,10.35
7710,3.1048,0.226,0.0315,985.12,10.34
7600,3.1487,0.23,0.032,984.58,10.39
7520,3.1327,0.233,0.0318,984.01,10.26
7440,3.1008,0.237,0.0315,983.48,10.2
7330,3.1407,0.243,0.032,983.01,10.21
7250,3.1407,0.247,0.032,982.49,10.28
7170,3.1407,0.251,0.032,981.85,10.3
7130,3.1407,0.257,0.032,981.17,10.3
7350,3.1447,0.262,0.0321,980.52,10.32
7620,3.1327,0.268,0.032,979.83,10.1
7520,3.0928,0.274,0.0316,979.14,9.92
7320,3.0888,0.281,0.0316,978.56,9.86
7390,3.1367,0.287,0.0321,978.03,9.87
7350,3.1447,0.291,0.0322,977.43,9.76
7540,3.1487,0.295,0.0322,976.87,9.71
7700,3.1447,0.3,0.0322,976.27,9.57
7650,3.1487,0.305,0.0323,975.69,9.48
7610,3.1447,0.309,0.0323,975.02,9.74
7310,3.1207,0.314,0.032,974.35,10.64
6960,3.0888,0.32,0.0317,973.75,11.1
6970,3.1247,0.326,0.0321,973.14,11.22
7010,3.1527,0.331,0.0324,972.63,10.81
6820,3.1767,0.335,0.0327,972.07,11.15
6710,3.1767,0.339,0.0327,971.49,11.17
6570,3.1807,0.344,0.0328,970.78,11.42
6570,3.1847,0.351,0.0328,970.02,10.81
6520,3.1807,0.358,0.0328,969.29,10.92
6380,3.1767,0.365,0.0328,968.5,11.35
6270,3.1607,0.373,0.0327,967.74,11.41
6210,3.1847,0.38,0.0329,966.85,11.39
6160,3.1727,0.387,0.0328,966.15,11.22
