"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
10300,2.5743,0.032,0.0254,1012.21,10.66
10200,2.8394,0.032,0.0281,1012.04,10.64
9910,2.8316,0.032,0.028,1011.71,10.17
9480,2.8006,0.035,0.0277,1011.31,9.47
9550,2.7853,0.04,0.0276,1010.81,9.27
9500,2.7934,0.047,0.0276,1010.27,9.06
9610,2.8012,0.053,0.0277,1009.63,9
9790,2.7934,0.066,0.0277,1008.98,8.97
9950,2.7934,0.072,0.0277,1007.94,9.01
9990,2.8249,0.077,0.028,1007.35,8.99
10100,2.8485,0.081,0.0283,1006.82,8.96
10200,2.8485,0.086,0.0283,1006.25,9.03
10300,2.8249,0.091,0.0281,1005.66,9
10300,2.8563,0.096,0.0284,1005.16,8.91
10300,2.8878,0.1,0.0287,1004.64,8.96
10300,2.8917,0.104,0.0288,1004.03,8.87
10300,2.8721,0.112,0.0286,1003.44,8.86
10400,2.8799,0.117,0.0287,1002.9,8.92
10400,2.876,0.117,0.0287,1002.35,8.83
10400,2.876,0.117,0.0287,1001.79,8.82
10400,2.8721,0.126,0.0287,1001.37,8.8
10400,2.876,0.131,0.0287,1000.84,8.78
10500,2.8996,0.134,0.029,1000.36,8.88
10500,2.8996,0.136,0.029,999.86,8.79
10500,2.8799,0.14,0.0288,999.31,8.77
10600,2.8839,0.146,0.0289,998.8,8.78
10600,2.8957,0.154,0.029,998.31,8.75
10700,2.8917,0.154,0.029,997.71,8.83
10700,2.876,0.159,0.0288,997.18,8.81
10700,2.876,0.164,0.0289,996.53,8.83
10600,2.876,0.168,0.0289,996.03,8.74
10700,2.8681,0.173,0.0288,995.5,8.83
10700,2.8681,0.177,0.0288,995,8.74
10800,2.8642,0.182,0.0288,994.43,8.84
10800,2.8091,0.192,0.0283,993.25,8.83
10800,2.8091,0.209,0.0283,991.52,8.81
10700,2.786,0.213,0.0281,990.99,8.71
10800,2.7708,0.22,0.028,989.91,8.81
10700,2.7709,0.225,0.028,989.34,8.7
10700,2.767,0.229,0.028,988.78,8.72
10900,2.7512,0.238,0.0279,987.54,8.84
10900,2.7198,0.249,0.0276,987,8.86
10900,2.712,0.258,0.0275,985.44,8.85
5460,2.5549,1.402,0.0296,862.46,22.34
5600,3.7887,1.413,0.044,861.62,22.32
5630,3.8123,1.418,0.0443,861.18,22.17
5560,3.8281,1.422,0.0445,860.66,22.13
5500,3.836,1.425,0.0446,860.07,22.14
5360,3.8242,1.43,0.0445,859.36,22.14
5400,3.773,1.436,0.0439,858.7,22.13
5460,3.7572,1.443,0.0438,858.07,22.25
5240,3.7454,1.45,0.0437,857.45,22.19
5110,3.7375,1.456,0.0436,856.99,22.21
4860,3.7415,1.462,0.0437,856.56,22.25
4760,3.7493,1.467,0.0438,856.06,22.4
4730,3.7296,1.471,0.0436,855.55,22.27
4700,3.7139,1.476,0.0434,855.06,22.27
4700,3.6981,1.482,0.0433,854.61,22.29
