"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
5950,2.8309,0.034,0.0278,1016.89,11.94
6140,2.8914,0.033,0.0284,1016.85,12.22
6000,2.9862,0.034,0.0294,1016.64,11.96
5600,3.0655,0.037,0.0302,1016.66,11.35
5330,3.1072,0.04,0.0306,1016.44,10.84
5250,3.145,0.044,0.031,1016.05,10.54
5260,3.1564,0.049,0.0311,1015.65,10.49
5300,3.1526,0.056,0.0311,1015.19,10.44
5280,3.1866,0.062,0.0314,1014.6,10.21
5390,3.2132,0.067,0.0317,1014.04,10.28
5340,3.2397,0.073,0.032,1013.37,10.13
5350,3.2662,0.079,0.0323,1012.64,10.09
5360,3.2208,0.085,0.0318,1012.01,9.96
5460,3.2511,0.09,0.0321,1011.45,10.02
5470,3.2776,0.095,0.0324,1010.74,9.9
5490,3.2814,0.101,0.0325,1010.07,9.88
5490,3.2889,0.106,0.0326,1009.39,9.89
5530,3.274,0.112,0.0325,1008.75,9.83
5540,3.2821,0.117,0.0326,1008.1,9.82
5510,3.3166,0.121,0.0329,1007.39,9.72
5540,3.3432,0.125,0.0332,1006.9,9.73
5550,3.3811,0.129,0.0336,1006.27,9.67
5540,3.4114,0.135,0.0339,1005.58,9.68
5470,3.3887,0.142,0.0337,1004.85,9.73
5260,3.3925,0.149,0.0338,1004.01,9.8
5210,3.453,0.155,0.0344,1003.3,9.7
5320,3.4909,0.162,0.0348,1002.44,9.57
5430,3.4795,0.17,0.0347,1001.52,9.48
5460,3.4455,0.178,0.0344,1000.54,9.34
5460,3.4644,0.184,0.0347,999.71,9.2
5500,3.4682,0.189,0.0347,998.94,9.28
5380,3.4833,0.194,0.0349,998.25,9.22
5220,3.4833,0.199,0.0349,997.51,9.44
5250,3.506,0.205,0.0352,996.86,9.45
5140,3.5174,0.21,0.0353,996.21,9.52
5090,3.5212,0.214,0.0354,995.62,9.54
4980,3.6272,0.22,0.0365,994.99,9.6
4890,3.6499,0.225,0.0367,994.36,9.5
4880,3.6651,0.231,0.0369,993.67,9.53
4830,3.6613,0.237,0.0369,992.98,9.71
4730,3.6575,0.242,0.0369,992.24,9.91
4640,3.684,0.248,0.0372,991.59,9.81
4680,3.6499,0.252,0.0368,991.04,9.59
4630,3.7256,0.257,0.0376,990.56,9.59
4410,3.7219,0.261,0.0376,990.04,9.73
4270,3.7294,0.266,0.0377,989.53,9.96
4300,3.7862,0.272,0.0383,988.98,9.76
4210,3.8089,0.276,0.0385,988.47,9.84
4170,3.8089,0.279,0.0386,987.89,10.01
4080,3.8392,0.283,0.0389,987.36,10.23
4050,3.8657,0.287,0.0392,986.56,10.54
3960,3.8809,0.291,0.0394,986.02,10.47
3920,3.8962,0.295,0.0395,985.61,10.64
3910,3.9266,0.298,0.0399,985.12,10.66
3880,3.9461,0.301,0.0401,984.67,10.65
3860,3.9694,0.305,0.0403,984.29,10.62
3810,3.9771,0.309,0.0404,983.89,10.39
3830,3.9848,0.312,0.0405,983.45,10.46
3840,3.9962,0.316,0.0407,983.04,10.46
3780,4.0113,0.32,0.0408,982.66,10.36
3770,4.0303,0.325,0.041,982.1,10.36
3760,4.0681,0.329,0.0414,981.53,10.35
3750,4.1022,0.334,0.0418,981.01,10.33
3720,4.1174,0.338,0.042,980.53,10.26
3700,4.106,0.342,0.0419,980.05,10.27
3710,4.0909,0.346,0.0418,979.71,10.4
3720,4.1098,0.349,0.042,979.37,10.51
3710,4.1439,0.352,0.0423,979.08,10.49
3670,4.1931,0.355,0.0428,978.73,10.4
3660,4.2196,0.359,0.0431,978.24,10.4
3660,4.2386,0.362,0.0433,977.84,10.42
3650,4.2159,0.366,0.0431,977.41,10.42
3670,4.1969,0.369,0.043,977.08,10.51
3690,4.2159,0.372,0.0432,976.63,10.53
3680,4.2424,0.375,0.0435,976.21,10.42
3700,4.284,0.379,0.0439,975.86,10.42
3720,4.303,0.382,0.0441,975.45,10.42
3770,4.2765,0.386,0.0439,975,10.49
3790,4.2537,0.39,0.0436,974.59,10.41
3890,4.2462,0.393,0.0436,974.3,10.6
3900,4.2765,0.396,0.0439,973.83,10.51
3940,4.2992,0.399,0.0442,973.51,10.58
3990,4.2922,0.402,0.0441,973.11,10.57
3990,4.2741,0.405,0.0439,972.76,10.59
3970,4.259,0.408,0.0438,972.39,10.51
3970,4.2515,0.411,0.0437,971.89,10.62
3930,4.2704,0.414,0.044,971.61,10.5
3920,4.2932,0.418,0.0442,971.22,10.52
3930,4.3083,0.422,0.0444,970.8,10.62
3880,4.3197,0.425,0.0445,970.4,10.51
3860,4.2856,0.429,0.0442,969.97,10.52
3850,4.2553,0.432,0.0439,969.62,10.53
3840,4.2553,0.435,0.0439,969.25,10.53
3780,4.259,0.439,0.044,968.95,10.43
3760,4.2894,0.442,0.0443,968.61,10.52
3730,4.3197,0.445,0.0446,968.18,10.41
3700,4.3197,0.449,0.0446,967.8,10.44
3660,4.2969,0.452,0.0444,967.43,10.43
3660,4.2818,0.456,0.0443,967.01,10.43
3640,4.2742,0.459,0.0442,966.61,10.42
3620,4.3007,0.463,0.0445,966.12,10.32
3610,4.3348,0.466,0.0449,965.63,10.32
3600,4.3576,0.469,0.0451,965.3,10.28
3640,4.3386,0.473,0.045,964.79,10.28
3610,4.2969,0.476,0.0446,964.44,10.17
3630,4.2818,0.48,0.0444,964.02,10.25
3580,4.2969,0.485,0.0446,963.67,10.13
3600,4.3273,0.489,0.0449,963.25,10.12
3600,4.35,0.493,0.0452,962.79,10.1
3600,4.35,0.497,0.0452,962.28,10.09
3590,4.3538,0.503,0.0453,961.74,9.98
3600,4.3651,0.508,0.0454,961.11,9.95
3610,4.3727,0.515,0.0455,960.51,9.93
3630,4.3845,0.521,0.0457,959.85,9.9
3650,4.366,0.527,0.0455,959.26,9.89
3640,4.3211,0.532,0.0451,958.66,9.78
3640,4.2948,0.537,0.0448,958.04,9.74
3670,4.3329,0.541,0.0453,957.48,9.73
3620,4.386,0.545,0.0458,957.01,9.63
3590,4.3784,0.549,0.0458,956.48,9.62
3590,4.3594,0.555,0.0456,955.9,9.6
3590,4.3291,0.56,0.0453,955.39,9.59
3590,4.3253,0.564,0.0453,954.84,9.47
3620,4.386,0.568,0.046,954.36,9.42
3590,4.3935,0.574,0.0461,953.78,9.32
3620,4.3329,0.579,0.0455,953.13,9.29
3670,4.3026,0.584,0.0452,952.59,9.25
3690,4.2912,0.589,0.0451,952.1,9.22
3680,4.3026,0.593,0.0452,951.6,9.1
3720,4.3253,0.596,0.0455,951.1,9.17
3670,4.3215,0.6,0.0455,950.64,8.98
3690,4.3329,0.605,0.0456,950.07,9.08
3660,4.3405,0.61,0.0457,949.61,8.94
3700,4.3215,0.614,0.0455,949.04,8.93
3700,4.3026,0.618,0.0454,948.51,8.91
3700,4.3329,0.622,0.0457,948.04,8.88
3700,4.3443,0.627,0.0458,947.5,8.78
3710,4.3063,0.631,0.0455,946.99,8.76
3730,4.2836,0.635,0.0453,946.56,8.74
3730,4.2912,0.638,0.0454,946.07,8.73
3740,4.2874,0.642,0.0453,945.56,8.71
3750,4.2874,0.647,0.0454,945.14,8.62
3740,4.2912,0.651,0.0454,944.68,8.59
3760,4.3063,0.654,0.0456,944.27,8.59
3750,4.3063,0.658,0.0456,943.83,8.56
3730,4.276,0.662,0.0453,943.35,8.46
3750,4.2457,0.666,0.045,942.95,8.53
3730,4.2419,0.67,0.045,942.52,8.42
3730,4.2646,0.673,0.0453,942.18,8.4
3740,4.2798,0.677,0.0454,941.76,8.39
3720,4.2646,0.681,0.0453,941.36,8.28
3720,4.2419,0.685,0.0451,940.84,8.27
3750,4.2343,0.689,0.045,940.4,8.24
3760,4.2381,0.694,0.0451,939.91,8.22
3740,4.2646,0.698,0.0454,939.39,8.11
3710,4.2836,0.704,0.0456,938.86,8.12
3680,4.2457,0.709,0.0453,938.23,8.15
3690,4.2154,0.714,0.045,937.77,8.22
3660,4.2078,0.719,0.0449,937.17,8.14
3630,4.2154,0.723,0.045,936.65,8.15
3610,4.2305,0.726,0.0452,936.18,8.17
3610,4.2154,0.73,0.045,935.71,8.15
3610,4.204,0.734,0.045,935.25,8.19
3640,4.2002,0.738,0.0449,934.86,8.46
3620,4.2267,0.741,0.0452,934.41,8.46
3570,4.2613,0.745,0.0456,933.91,8.34
3550,4.2653,0.748,0.0457,933.49,8.37
3550,4.2468,0.752,0.0455,933.07,8.39
3450,4.2434,0.756,0.0455,932.67,8.11
3450,4.2322,0.76,0.0454,932.27,8.11
3470,4.2436,0.764,0.0455,931.72,8.23
3460,4.2739,0.769,0.0459,931.31,8.21
3430,4.2891,0.774,0.0461,930.89,8.11
3430,4.2702,0.778,0.0459,930.44,8.08
3420,4.2892,0.782,0.0461,929.97,8.06
3410,4.312,0.788,0.0464,929.37,7.96
3410,4.3195,0.793,0.0465,928.78,7.93
3380,4.3347,0.8,0.0467,928.19,7.84
3380,4.3195,0.806,0.0466,927.6,7.79
3400,4.274,0.812,0.0461,926.88,7.79
3370,4.2627,0.818,0.046,926.33,7.69
3370,4.2702,0.822,0.0461,925.78,7.67
3320,4.274,0.825,0.0462,925.3,7.82
3240,4.3309,0.828,0.0468,924.9,7.75
3210,4.3764,0.831,0.0473,924.44,7.75
3160,4.3575,0.835,0.0472,924.02,7.75
3150,4.3044,0.84,0.0466,923.51,7.75
3120,4.3082,0.843,0.0467,923.15,7.65
3110,4.3423,0.846,0.0471,922.79,7.63
3130,4.3613,0.85,0.0473,922.41,7.71
3120,4.3271,0.853,0.0469,922,7.61
3130,4.3195,0.857,0.0469,921.62,7.61
3110,4.3347,0.86,0.0471,921.22,7.51
3100,4.3575,0.864,0.0473,920.92,7.49
3080,4.3764,0.868,0.0475,920.51,7.5
3080,4.3916,0.872,0.0477,920.03,7.5
3070,4.3688,0.875,0.0475,919.57,7.59
3040,4.384,0.879,0.0477,919.22,7.52
3040,4.403,0.884,0.0479,918.72,7.51
3040,4.4181,0.889,0.0481,918.31,7.51
3020,4.4144,0.894,0.0481,917.83,7.54
3020,4.3764,0.899,0.0477,917.18,7.54
3000,4.3575,0.902,0.0475,916.7,7.53
2990,4.3764,0.905,0.0478,916.37,7.53
2970,4.4219,0.908,0.0483,915.94,7.56
2960,4.4637,0.911,0.0488,915.56,7.59
2930,4.4826,0.916,0.049,915.11,7.55
2900,4.4674,0.921,0.0488,914.68,7.49
2920,4.4674,0.927,0.0489,914.13,7.59
2890,4.4599,0.932,0.0488,913.53,7.58
2890,4.4712,0.937,0.049,912.96,7.57
2870,4.4864,0.941,0.0492,912.52,7.5
2880,4.494,0.944,0.0493,912.07,7.56
2860,4.5319,0.946,0.0497,911.72,7.51
2840,4.5433,0.95,0.0499,911.28,7.51
2860,4.5433,0.954,0.0499,910.89,7.61
2840,4.5585,0.957,0.0501,910.35,7.61
2850,4.5509,0.96,0.05,909.88,7.62
2840,4.5395,0.963,0.0499,909.48,7.6
2840,4.5433,0.966,0.05,909.08,7.6
2820,4.5395,0.97,0.05,908.71,7.5
2810,4.5092,0.973,0.0496,908.36,7.47
2810,4.5205,0.977,0.0498,907.96,7.48
2810,4.5547,0.98,0.0502,907.6,7.38
2780,4.5698,0.983,0.0504,907.23,7.38
2800,4.5736,0.987,0.0504,906.84,7.36
2780,4.5547,0.99,0.0502,906.48,7.36
2770,4.5471,0.993,0.0502,906.16,7.26
2780,4.5547,0.997,0.0503,905.75,7.24
2790,4.5774,1,0.0506,905.23,7.31
2780,4.5964,1.004,0.0508,904.92,7.2
2790,4.5926,1.008,0.0508,904.54,7.19
2780,4.5471,1.012,0.0503,904.23,7.19
2800,4.5472,1.015,0.0503,903.87,7.18
2770,4.551,1.017,0.0504,903.53,7.09
2780,4.5776,1.02,0.0507,903.18,7.16
2770,4.6003,1.024,0.051,902.8,7.06
2760,4.6155,1.027,0.0511,902.4,7.08
2770,4.5852,1.031,0.0508,902.01,7.18
2770,4.5662,1.035,0.0506,901.64,7.21
2760,4.5662,1.038,0.0507,901.26,7.22
2770,4.5738,1.042,0.0508,900.89,7.23
2750,4.5852,1.045,0.0509,900.51,7.24
2760,4.6155,1.049,0.0513,900.05,7.35
2740,4.6345,1.053,0.0515,899.66,7.35
2720,4.6383,1.057,0.0516,899.23,7.25
2700,4.6383,1.062,0.0516,898.81,7.14
2710,4.6079,1.066,0.0513,898.3,7.15
2730,4.5927,1.07,0.0512,897.88,7.25
2700,4.6231,1.073,0.0515,897.47,7.24
2700,4.6572,1.077,0.0519,897.17,7.22
2690,4.6686,1.08,0.0521,896.84,7.23
2670,4.6458,1.083,0.0518,896.51,7.14
2700,4.6269,1.086,0.0516,896.14,7.22
2670,4.6383,1.089,0.0518,895.82,7.13
2680,4.6421,1.092,0.0518,895.37,7.21
2670,4.6534,1.095,0.052,895.1,7.12
