"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
7140,3.0626,0.029,0.0299,1023.12,10.62
6740,3.1281,0.037,0.0306,1022.94,10.32
6320,3.1397,0.043,0.0307,1022.61,9.85
6150,3.1551,0.049,0.0309,1022.2,9.61
6170,3.1821,0.054,0.0311,1021.61,9.56
6200,3.2052,0.059,0.0314,1021.09,9.41
6260,3.2052,0.064,0.0314,1020.42,9.36
6330,3.2476,0.068,0.0318,1019.89,9.33
6370,3.3092,0.074,0.0325,1019.33,9.28
6340,3.3285,0.08,0.0327,1018.67,9.15
6420,3.3092,0.085,0.0325,1018,9.14
6460,3.3554,0.09,0.033,1017.39,9.05
6500,3.3901,0.096,0.0333,1016.71,8.95
6530,3.444,0.103,0.0339,1016.02,8.94
6510,3.4903,0.11,0.0344,1015.37,9.19
6600,3.4748,0.117,0.0343,1014.5,9.05
6630,3.4828,0.124,0.0344,1013.81,9.13
6580,3.4794,0.129,0.0343,1013.12,9.04
6550,3.5067,0.134,0.0346,1012.45,9.02
6500,3.5416,0.139,0.035,1011.76,8.89
6550,3.5686,0.145,0.0353,1011.06,8.83
6570,3.5803,0.152,0.0354,1010.31,8.74
6570,3.5918,0.158,0.0356,1009.53,8.69
6560,3.6072,0.163,0.0358,1008.77,8.69
6610,3.6304,0.169,0.036,1008.05,8.67
6630,3.6843,0.176,0.0366,1007.27,8.62
6610,3.6651,0.183,0.0364,1006.55,8.46
6530,3.6496,0.189,0.0363,1005.82,8.39
6510,3.6612,0.195,0.0364,1004.96,8.4
6530,3.6805,0.203,0.0366,1004.27,8.34
6460,3.692,0.209,0.0368,1003.43,8.27
6470,3.6535,0.215,0.0364,1002.61,8.35
6480,3.6535,0.22,0.0365,1001.88,8.33
6500,3.6535,0.225,0.0365,1001.29,8.24
6430,3.7229,0.231,0.0372,1000.61,8.28
6390,3.7768,0.236,0.0378,999.98,8.23
6390,3.7768,0.242,0.0378,999.29,8.2
6300,3.7653,0.247,0.0377,998.57,8
6340,3.773,0.255,0.0378,997.8,7.9
6240,3.7537,0.262,0.0376,997.02,7.8
6220,3.7074,0.267,0.0372,996.35,7.78
6340,3.6766,0.271,0.0369,995.67,7.73
6420,3.7498,0.276,0.0377,995.02,7.7
6490,3.7653,0.283,0.0379,994.34,7.66
6380,3.7691,0.29,0.0379,993.64,7.56
6350,3.7383,0.296,0.0377,992.89,7.54
6270,3.7152,0.302,0.0374,992.21,7.43
6220,3.7691,0.307,0.038,991.46,7.33
6100,3.7961,0.314,0.0383,990.73,7.32
6040,3.8154,0.32,0.0385,989.96,7.2
5900,3.8154,0.326,0.0386,989.19,7.14
6010,3.7961,0.332,0.0384,988.46,7.06
5640,3.8192,0.338,0.0387,987.81,6.87
5530,3.8115,0.343,0.0386,987.13,6.81
5510,3.8346,0.348,0.0389,986.44,6.74
5560,3.8924,0.354,0.0395,985.77,6.81
5710,3.9234,0.361,0.0398,985.05,6.81
5810,3.9157,0.368,0.0398,984.2,6.71
5850,3.8849,0.374,0.0395,983.47,6.65
5950,3.8579,0.379,0.0393,982.82,6.64
5920,3.9118,0.384,0.0398,982.11,6.61
5820,3.935,0.391,0.0401,981.37,6.5
5820,3.9273,0.396,0.04,980.62,6.47
5770,3.9311,0.402,0.0401,979.87,6.35
5750,3.9273,0.407,0.0401,979.2,6.35
5650,3.9465,0.413,0.0403,978.53,6.26
5690,3.9465,0.42,0.0404,977.78,6.21
5490,3.9271,0.426,0.0402,977.05,6.06
5390,3.9117,0.432,0.0401,976.39,5.96
5360,3.9348,0.437,0.0403,975.67,5.88
5400,3.9541,0.441,0.0406,975.05,5.9
5360,3.9348,0.445,0.0404,974.5,5.82
5410,3.9732,0.449,0.0408,973.93,5.86
5510,3.9849,0.454,0.0409,973.38,5.81
5450,4.0235,0.461,0.0414,972.79,5.73
5380,4.0619,0.468,0.0418,972.12,5.64
5330,4.0733,0.475,0.0419,971.47,5.62
5350,4.0463,0.483,0.0417,970.79,5.49
5380,4.0349,0.49,0.0416,970.12,5.42
5430,4.0619,0.497,0.0419,969.32,5.39
5520,4.0811,0.505,0.0421,968.58,5.33
5580,4.0154,0.511,0.0415,967.76,5.28
5590,4.0152,0.516,0.0415,966.99,5.18
5620,4.0423,0.521,0.0418,966.26,5.15
5570,4.0807,0.526,0.0423,965.57,5.15
5540,4.0843,0.532,0.0423,964.94,5.05
5600,4.0725,0.538,0.0422,964.27,4.98
5670,4.03,0.543,0.0418,963.63,4.93
5660,3.999,0.546,0.0415,963.08,4.84
5700,4.0492,0.55,0.0421,962.51,4.91
5660,4.0799,0.554,0.0424,961.99,4.81
5650,4.026,0.558,0.0419,961.41,4.8
5630,3.9952,0.561,0.0416,960.97,4.81
5620,4.0221,0.564,0.0419,960.51,4.78
5620,4.0568,0.568,0.0423,960.04,4.75
5600,4.0953,0.574,0.0427,959.45,4.65
5590,4.1031,0.58,0.0428,958.86,4.54
5590,4.0684,0.588,0.0425,958.13,4.47
5610,4.0377,0.595,0.0422,957.42,4.44
5620,4.0223,0.602,0.042,956.58,4.33
5640,4.0107,0.61,0.042,955.77,4.26
5630,3.976,0.617,0.0416,955.08,4.16
5640,3.9529,0.623,0.0414,954.29,4.12
5630,3.9414,0.626,0.0413,953.6,4.02
5670,3.9645,0.63,0.0416,952.96,4.08
5650,3.9799,0.633,0.0418,952.41,4.05
5590,3.9953,0.636,0.042,951.85,3.89
5600,4.03,0.64,0.0424,951.4,3.95
5630,4.057,0.645,0.0427,950.85,3.94
5610,4.0647,0.651,0.0428,950.31,3.84
5600,4.0377,0.658,0.0425,949.69,3.81
5580,4.0338,0.664,0.0425,949.05,3.71
5590,4.0608,0.671,0.0428,948.4,3.71
5560,4.0762,0.678,0.043,947.66,3.57
5610,4.03,0.685,0.0426,946.83,3.63
5580,3.9491,0.691,0.0417,946.05,3.44
5620,3.9838,0.696,0.0421,945.43,3.5
5540,4.0261,0.702,0.0426,944.7,3.28
5560,4.0338,0.709,0.0427,943.91,3.24
5550,4.0184,0.715,0.0426,943.2,3.24
5540,4.0184,0.721,0.0426,942.56,3.21
5530,4.0415,0.728,0.0429,941.89,3.1
5520,4.0377,0.734,0.0429,941.14,3.07
5440,4.0261,0.741,0.0428,940.42,3
5420,3.9722,0.746,0.0423,939.72,2.9
5390,3.9645,0.75,0.0422,939.02,2.81
5410,3.9838,0.754,0.0425,938.34,2.85
5400,3.9915,0.759,0.0426,937.8,2.76
5420,4.0223,0.763,0.0429,937.15,2.73
5440,4.03,0.769,0.043,936.65,2.7
5440,4.0184,0.774,0.0429,936.06,2.68
5450,3.9953,0.78,0.0427,935.47,2.66
5450,4.0184,0.785,0.043,934.86,2.54
5430,4.0069,0.791,0.0429,934.27,2.53
5290,4.0261,0.797,0.0431,933.69,2.56
5320,4.0338,0.803,0.0432,933.03,2.48
5470,4.0146,0.81,0.0431,932.36,2.37
5580,3.9992,0.817,0.0429,931.54,2.36
5610,3.9606,0.823,0.0425,930.88,2.22
5580,3.9261,0.827,0.0422,930.26,2.14
5540,3.9376,0.831,0.0424,929.64,2.13
5500,3.9762,0.834,0.0428,929.07,2.04
5560,4.0109,0.839,0.0432,928.5,2.1
5550,4.0147,0.845,0.0433,927.95,2.08
5510,3.9646,0.851,0.0427,927.42,1.99
5490,3.9068,0.855,0.0422,926.77,2
5470,3.9338,0.859,0.0425,926.21,2.01
5420,3.9685,0.863,0.0429,925.66,1.93
5430,3.98,0.869,0.043,925.13,1.89
5180,3.9376,0.874,0.0426,924.5,1.89
5040,3.9415,0.88,0.0427,923.98,1.87
5020,3.9492,0.885,0.0428,923.44,1.86
5020,3.9685,0.89,0.043,922.86,1.84
5030,3.9839,0.895,0.0432,922.3,1.82
5050,3.9646,0.901,0.043,921.72,1.79
5020,3.9454,0.905,0.0428,921.18,1.68
5020,3.9531,0.909,0.0429,920.57,1.66
5020,3.9608,0.913,0.043,920.1,1.66
5020,3.9954,0.917,0.0434,919.55,1.66
4990,4.0031,0.922,0.0436,919.09,1.55
4980,3.9993,0.926,0.0435,918.59,1.53
4990,3.9954,0.931,0.0435,918.02,1.53
4980,3.9839,0.936,0.0434,917.49,1.45
4970,3.9916,0.94,0.0435,916.95,1.43
4980,3.9877,0.944,0.0435,916.5,1.4
4960,3.9608,0.947,0.0432,916.08,1.33
4960,3.9915,0.951,0.0436,915.66,1.34
4960,4.0101,0.954,0.0438,915.25,1.31
4930,4.0248,0.959,0.044,914.86,1.23
4950,4.0248,0.962,0.044,914.41,1.21
4940,4.0133,0.966,0.0439,913.92,1.19
4950,4.0133,0.969,0.0439,913.48,1.16
4970,4.0248,0.972,0.0441,913.11,1.15
4950,4.0441,0.976,0.0443,912.62,1.13
