"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
10200,0.3982,0.034,0.0039,1020.98,10.51
10500,0.4289,0.034,0.0042,1020.91,10.87
10500,0.4442,0.034,0.00435,1020.84,10.87
10200,0.471,0.034,0.00461,1020.71,10.6
10200,0.5093,0.035,0.00499,1020.66,10.74
10400,0.5437,0.038,0.00533,1020.59,11.06
9840,0.5705,0.043,0.00559,1020.31,10.55
9690,0.605,0.048,0.00593,1019.86,10.56
9540,0.6203,0.054,0.00609,1019.4,10.57
9410,0.6471,0.06,0.00635,1018.85,11.01
9340,0.6739,0.066,0.00662,1018.12,10.99
8550,0.6931,0.072,0.00681,1017.45,11.22
7670,0.7275,0.077,0.00715,1016.82,11.67
7450,0.7773,0.081,0.00765,1016.18,11.75
7370,0.8271,0.085,0.00814,1015.72,11.78
7260,0.8769,0.089,0.00864,1015.16,11.69
7290,0.9266,0.094,0.00913,1014.63,11.79
7290,0.9841,0.099,0.0097,1014.13,12.02
7290,1.0339,0.103,0.0102,1013.58,12.56
7110,1.0798,0.108,0.0107,1013.05,12.74
6980,1.1219,0.112,0.0111,1012.52,13.05
6910,1.1678,0.115,0.0115,1011.97,13.25
6860,1.2213,0.119,0.0121,1011.53,13.36
6730,1.2747,0.123,0.0126,1010.98,13.27
6650,1.3206,0.128,0.0131,1010.51,13.24
6580,1.3666,0.131,0.0135,1010.08,13.27
6460,1.4125,0.134,0.014,1009.66,13.2
6390,1.4584,0.138,0.0145,1009.16,13.34
6190,1.5005,0.141,0.0149,1008.66,13.26
6090,1.5464,0.145,0.0153,1008.2,13.32
6360,1.5962,0.15,0.0158,1007.73,13.45
7070,1.6345,0.154,0.0162,1007.27,13.55
7380,1.6613,0.157,0.0165,1006.82,13.63
7510,1.6881,0.161,0.0168,1006.34,13.81
7680,1.7187,0.164,0.0171,1005.88,14.13
7860,1.7493,0.168,0.0174,1005.47,14.38
8390,1.7723,0.171,0.0176,1005.07,15.02
8180,1.7952,0.175,0.0179,1004.57,15.75
8000,1.8182,0.179,0.0181,1004.2,16.51
7680,1.8488,0.183,0.0184,1003.77,16.95
7350,1.8871,0.187,0.0188,1003.32,17.18
7050,1.9369,0.19,0.0193,1002.88,17.6
6830,1.9905,0.193,0.0199,1002.51,17.7
6700,2.0364,0.197,0.0203,1002.19,17.73
6650,2.0747,0.2,0.0207,1001.81,17.89
6500,2.113,0.203,0.0211,1001.43,17.9
6280,2.1474,0.207,0.0215,1001.01,17.82
6100,2.1933,0.21,0.0219,1000.55,17.69
6030,2.2201,0.214,0.0222,1000.07,17.69
5840,2.2431,0.218,0.0224,999.67,17.73
5740,2.2814,0.221,0.0228,999.26,17.75
5660,2.3273,0.225,0.0233,998.89,17.78
5560,2.3618,0.229,0.0237,998.42,17.81
5460,2.3924,0.232,0.024,997.98,17.85
5380,2.4342,0.235,0.0244,997.58,18.02
5220,2.4682,0.238,0.0248,997.19,18.08
4980,2.5064,0.241,0.0251,996.79,18.29
4710,2.5523,0.245,0.0256,996.36,18.36
4370,2.5944,0.249,0.0261,995.92,18.51
4220,2.6327,0.253,0.0264,995.53,18.55
4040,2.6671,0.256,0.0268,995.09,18.62
4000,2.7092,0.26,0.0272,994.73,18.64
3920,2.7436,0.263,0.0276,994.34,18.75
3870,2.7896,0.268,0.0281,993.81,18.63
3810,2.824,0.272,0.0284,993.37,18.52
3770,2.8661,0.275,0.0289,992.87,18.52
3780,2.9005,0.28,0.0292,992.46,18.63
3750,2.9388,0.284,0.0296,992.05,18.61
3740,2.9617,0.287,0.0299,991.57,18.58
3700,3,0.291,0.0303,991.12,18.48
3640,3.0268,0.295,0.0305,990.77,18.33
3620,3.0612,0.299,0.0309,990.31,18.29
3580,3.0765,0.302,0.0311,989.86,18.27
3530,3.1225,0.306,0.0316,989.43,18.16
3530,3.1569,0.31,0.0319,989.05,18.16
3540,3.1875,0.313,0.0322,988.63,18.26
3500,3.222,0.317,0.0326,988.13,18.13
3460,3.2487,0.32,0.0329,987.73,18.14
3420,3.2947,0.324,0.0334,987.29,18.12
3470,3.3291,0.328,0.0337,986.92,18.1
