"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
8410,2.4089,0.034,0.0238,1011.45,8.72
8330,2.4629,0.034,0.0244,1011.41,8.72
8270,2.513,0.036,0.0248,1011.3,8.63
8330,2.5669,0.04,0.0254,1011.03,8.69
8430,2.6209,0.045,0.0259,1010.74,8.63
8490,2.6401,0.05,0.0261,1010.33,8.61
8490,2.6363,0.054,0.0261,1009.9,8.48
8520,2.6517,0.059,0.0263,1009.39,8.44
8440,2.6401,0.063,0.0262,1008.94,8.43
8450,2.6594,0.067,0.0264,1008.41,8.31
8530,2.7635,0.072,0.0274,1007.93,8.36
8510,2.829,0.078,0.0281,1007.44,8.26
8470,2.856,0.084,0.0284,1006.86,8.25
8090,2.8714,0.089,0.0285,1006.29,8.27
7980,2.9678,0.094,0.0295,1005.69,8.33
8110,2.9832,0.101,0.0297,1004.58,8.12
8000,3.0718,0.105,0.0306,1004.11,8.13
7740,3.0834,0.109,0.0307,1003.68,8.15
7740,3.1373,0.113,0.0313,1003.09,8.14
7640,3.1027,0.117,0.0309,1002.6,8.04
7690,3.2029,0.121,0.032,1002.07,8.1
7780,3.2453,0.125,0.0324,1001.55,8.03
7790,3.253,0.13,0.0325,1001.04,7.92
7720,3.226,0.135,0.0322,1000.43,7.92
7590,3.2337,0.14,0.0323,999.83,7.87
7520,3.2221,0.144,0.0322,999.27,7.87
7540,3.3108,0.146,0.0331,998.88,7.86
7680,3.465,0.15,0.0347,998.38,7.79
7690,3.4881,0.154,0.035,997.96,7.67
7640,3.4611,0.158,0.0347,997.49,7.69
7370,3.5266,0.163,0.0354,997.02,7.69
7320,3.4919,0.168,0.035,996.57,7.77
7260,3.4919,0.172,0.0351,996,7.68
7260,3.5382,0.176,0.0355,995.47,7.65
7250,3.5497,0.181,0.0357,994.93,7.55
7250,3.5228,0.185,0.0354,994.31,7.53
7240,3.5151,0.188,0.0354,993.77,7.52
7230,3.6153,0.192,0.0364,993.3,7.5
7180,3.65,0.195,0.0368,992.8,7.42
7200,3.6461,0.199,0.0367,992.32,7.48
7120,3.6345,0.202,0.0366,991.9,7.4
7180,3.7232,0.206,0.0376,991.42,7.39
7100,3.8041,0.211,0.0384,990.97,7.32
7010,3.808,0.215,0.0384,990.48,7.32
7110,3.7771,0.219,0.0382,989.98,7.28
7140,3.8311,0.223,0.0387,989.6,7.25
7040,3.8966,0.228,0.0394,989.13,7.19
7080,3.9082,0.233,0.0395,988.53,7.24
7000,3.8966,0.237,0.0394,987.94,7.06
6940,3.9082,0.241,0.0396,987.52,7.13
6940,3.8928,0.245,0.0394,987.02,7.04
6920,3.9043,0.25,0.0396,986.57,7.03
6920,3.9275,0.254,0.0398,986,7.01
6850,3.889,0.259,0.0395,985.41,7.02
6730,3.8928,0.263,0.0395,984.85,6.97
6720,3.9228,0.267,0.0399,984.37,6.97
6650,3.9686,0.271,0.0403,983.87,6.88
6600,4.0532,0.276,0.0412,983.33,6.9
6580,4.0493,0.282,0.0412,982.69,6.89
6530,3.9684,0.287,0.0404,982.18,6.79
6530,3.9183,0.29,0.0399,981.56,6.76
6560,4.007,0.294,0.0408,981.09,6.82
6540,4.057,0.299,0.0414,980.61,6.75
6540,4.057,0.302,0.0414,980.03,6.74
6530,4.0224,0.306,0.0411,979.52,6.71
6510,4.0301,0.311,0.0412,979.02,6.62
6510,4.0378,0.315,0.0413,978.5,6.59
6500,4.0493,0.32,0.0414,977.98,6.51
6510,4.0262,0.324,0.0412,977.54,6.55
6490,4.1033,0.329,0.042,976.92,6.46
6500,4.1418,0.335,0.0424,976.39,6.44
6490,4.084,0.341,0.0419,975.79,6.35
6520,4.0686,0.347,0.0417,975.15,6.33
6550,4.0262,0.351,0.0413,974.51,6.35
6560,3.9954,0.355,0.041,974.09,6.27
6580,4.0185,0.358,0.0413,973.7,6.33
6550,4.1264,0.362,0.0424,973.18,6.25
6550,4.1726,0.366,0.0429,972.66,6.23
6520,4.1187,0.371,0.0424,972.09,6.14
6530,4.0802,0.375,0.042,971.56,6.12
6540,4.0416,0.379,0.0416,970.95,6.11
6610,4.0609,0.383,0.0418,970.53,6.18
6580,4.111,0.387,0.0424,970.03,6.09
6620,4.0917,0.391,0.0422,969.52,6.14
6600,4.111,0.396,0.0424,969,6.06
6590,4.0994,0.399,0.0423,968.57,5.97
6610,4.0647,0.403,0.042,968,5.96
