"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
9150,2.5571,0.034,0.025,1021.75,14.27
9210,2.6178,0.036,0.0256,1021.74,14.35
8840,2.6484,0.041,0.0259,1021.52,13.61
8210,2.6524,0.047,0.026,1021.08,12.43
8570,2.6524,0.053,0.026,1020.51,12.47
8720,2.6411,0.059,0.0259,1019.94,12.49
8330,2.607,0.064,0.0256,1019.33,11.99
8330,2.6373,0.069,0.0259,1018.72,12.02
8460,2.6752,0.074,0.0263,1018.07,12.18
8580,2.7017,0.08,0.0266,1017.4,12.32
8700,2.6979,0.086,0.0265,1016.7,12.42
8850,2.6903,0.091,0.0265,1016.01,12.53
9040,2.6941,0.096,0.0265,1015.41,12.71
9200,2.7017,0.1,0.0266,1014.82,12.87
9320,2.7169,0.104,0.0268,1014.28,12.95
9320,2.7435,0.109,0.0271,1013.73,12.95
9340,2.7359,0.114,0.027,1013.17,12.96
9430,2.7094,0.118,0.0268,1012.64,13.02
9520,2.7207,0.122,0.0269,1012.16,13.15
9630,2.7586,0.126,0.0273,1011.69,13.32
9700,2.7851,0.131,0.0275,1011.2,13.43
9710,2.7927,0.135,0.0276,1010.63,13.44
9720,2.7814,0.139,0.0275,1010.11,13.48
9700,2.77,0.143,0.0274,1009.65,13.43
9720,2.7776,0.147,0.0275,1009.13,13.49
9670,2.7776,0.151,0.0275,1008.64,13.42
9650,2.7965,0.155,0.0277,1008.16,13.43
9640,2.8117,0.159,0.0279,1007.67,13.42
9630,2.8382,0.165,0.0282,1007.07,13.4
9770,2.8647,0.171,0.0285,1006.48,13.59
9930,2.8382,0.176,0.0282,1005.79,13.87
10000,2.7927,0.182,0.0278,1005.19,14.06
10100,2.8003,0.186,0.0279,1004.58,14.26
10200,2.823,0.19,0.0281,1004.05,14.45
10200,2.8382,0.195,0.0283,1003.46,14.54
10200,2.8496,0.201,0.0284,1002.83,14.6
10100,2.8534,0.207,0.0285,1002.15,14.73
10100,2.842,0.213,0.0284,1001.45,14.77
10300,2.8534,0.218,0.0285,1000.78,15
10600,2.8534,0.223,0.0285,1000.08,15.29
10700,2.8534,0.227,0.0285,999.49,15.47
10900,2.8571,0.231,0.0286,998.94,15.68
11100,2.8799,0.235,0.0288,998.39,15.88
11200,2.8875,0.239,0.0289,997.86,16.03
11100,2.8879,0.244,0.029,997.31,16.04
11200,2.8769,0.248,0.0289,996.76,16.16
11300,2.8772,0.253,0.0289,996.24,16.36
