"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
11300,1.8383,0.029,0.0182,1009.42,15.49
11300,1.8383,0.028,0.0182,1009.46,15.49
11200,1.8383,0.028,0.0182,1009.45,15.37
11100,1.8383,0.028,0.0182,1009.42,15.34
11000,1.842,0.028,0.0182,1009.46,15.18
11100,1.8458,0.028,0.0183,1009.47,15.23
11300,1.842,0.028,0.0182,1009.55,15.33
11600,1.8044,0.027,0.0179,1009.37,15.42
11800,1.7706,0.027,0.0175,1009.37,15.4
11700,1.7631,0.027,0.0175,1009.3,15.15
11600,1.7932,0.025,0.0178,1009.3,14.92
11300,1.8232,0.027,0.0181,1009.32,14.57
11000,1.8608,0.028,0.0184,1009.4,14.18
11000,1.8947,0.028,0.0188,1009.39,14.13
10900,1.9097,0.029,0.0189,1009.33,13.99
11000,1.9247,0.029,0.0191,1009.33,13.97
10900,1.9398,0.03,0.0192,1009.34,13.94
11100,1.9398,0.032,0.0192,1009.36,14.08
11000,1.9473,0.032,0.0193,1009.29,13.96
10800,1.9999,0.032,0.0198,1009.16,13.7
10300,2.0338,0.033,0.0202,1009.09,12.67
10300,2.0488,0.034,0.0203,1008.8,12.31
10500,2.0563,0.036,0.0204,1008.37,12.15
10600,2.0601,0.04,0.0204,1007.88,11.94
10800,2.0488,0.044,0.0203,1007.29,11.85
10800,2.0563,0.049,0.0204,1006.66,11.72
10900,2.1052,0.061,0.0209,1006.05,11.57
11100,2.1089,0.067,0.021,1005.37,11.58
11300,2.0864,0.067,0.0208,1004.72,11.51
11300,2.0789,0.072,0.0207,1004.11,11.37
11500,2.1202,0.08,0.0211,1003.48,11.46
11400,2.1616,0.086,0.0216,1002.85,11.32
11500,2.1766,0.092,0.0217,1002.22,11.38
11700,2.1766,0.096,0.0217,1001.57,11.33
11700,2.1691,0.101,0.0217,1000.9,11.21
11800,2.1503,0.107,0.0215,1000.08,11.27
11800,2.1653,0.12,0.0217,999.41,11.25
11800,2.1955,0.125,0.022,998.88,11.13
11800,2.2031,0.125,0.0221,998.24,11.09
11900,2.2145,0.129,0.0222,997.57,11.05
12000,2.2107,0.134,0.0222,996.74,11.14
12000,2.1919,0.14,0.022,995.95,11.03
12000,2.1731,0.146,0.0218,995.21,11.01
12000,2.1618,0.153,0.0217,994.51,11.01
12000,2.1955,0.16,0.0221,993.96,11
12000,2.2218,0.166,0.0224,993.43,10.99
12000,2.218,0.173,0.0223,992.84,10.97
12100,2.1954,0.176,0.0221,992.28,10.94
12100,2.1992,0.176,0.0222,991.72,10.91
12100,2.2217,0.181,0.0224,991.14,10.83
12100,2.233,0.186,0.0225,990.43,10.88
12100,2.2255,0.191,0.0225,989.92,10.88
12100,2.2217,0.195,0.0225,989.39,10.78
12100,2.233,0.2,0.0226,988.91,10.77
12200,2.2556,0.204,0.0228,988.4,10.85
12200,2.2668,0.209,0.0229,987.91,10.83
12200,2.2368,0.217,0.0227,987.41,10.81
12200,2.2443,0.222,0.0227,986.93,10.72
12200,2.2894,0.222,0.0232,986.54,10.71
12200,2.3232,0.227,0.0236,986.04,10.7
12200,2.3233,0.23,0.0236,985.35,10.69
12400,2.2857,0.234,0.0232,984.69,10.83
12400,2.2594,0.238,0.023,984.13,10.85
12400,2.2744,0.245,0.0231,983.52,10.86
12400,2.2895,0.251,0.0233,982.89,10.86
12400,2.2858,0.256,0.0233,982.37,10.86
12300,2.3008,0.264,0.0234,981.82,10.74
12300,2.3008,0.269,0.0234,981.23,10.73
12300,2.3085,0.269,0.0235,980.5,10.71
12400,2.2859,0.274,0.0233,979.85,10.83
12400,2.237,0.281,0.0228,979.21,10.86
12400,2.2258,0.288,0.0227,978.55,10.86
12400,2.237,0.295,0.0229,977.89,10.86
12400,2.2295,0.3,0.0228,977.24,10.86
12400,2.2145,0.305,0.0227,976.49,10.76
12500,2.1806,0.31,0.0223,975.85,10.85
12500,2.1655,0.322,0.0222,975.26,10.85
12400,2.1806,0.328,0.0224,974.76,10.75
12400,2.1843,0.328,0.0224,974.18,10.71
12400,2.1467,0.332,0.022,973.6,10.69
12400,2.1241,0.338,0.0218,973.06,10.69
12400,2.1204,0.344,0.0218,972.57,10.7
12400,2.1128,0.349,0.0217,972.03,10.7
12400,2.1053,0.353,0.0217,971.48,10.7
12500,2.1015,0.356,0.0216,970.91,10.78
12500,2.094,0.361,0.0216,970.19,10.68
12600,2.0865,0.37,0.0215,969.67,10.76
12600,2.094,0.375,0.0216,969,10.76
12600,2.0752,0.375,0.0214,968.31,10.76
12500,2.0601,0.38,0.0213,967.71,10.64
12400,2.0338,0.386,0.021,967.16,10.54
12400,2.0451,0.393,0.0212,966.57,10.64
12200,2.0526,0.398,0.0212,966.03,10.55
12200,2.0564,0.403,0.0213,965.45,10.57
12200,2.0413,0.407,0.0212,964.84,10.56
12200,2.0489,0.413,0.0212,964.23,10.56
12300,2.0451,0.423,0.0212,963.54,10.57
12300,2.0188,0.429,0.021,962.96,10.57
12300,2.0075,0.429,0.0209,962.31,10.58
12300,1.9962,0.436,0.0208,961.61,10.6
12200,2,0.442,0.0208,961.02,10.61
12000,1.9962,0.448,0.0208,960.38,10.73
12000,2.0038,0.454,0.0209,959.75,11.25
11800,2.0376,0.459,0.0212,959.12,12.14
11800,2.0639,0.464,0.0215,958.43,13.09
11800,2.0789,0.469,0.0217,957.84,13.83
11800,2.0752,0.48,0.0217,957.24,14.34
11900,2.0903,0.486,0.0219,956.63,14.97
11800,2.1279,0.486,0.0223,956.08,15.32
11800,2.173,0.49,0.0227,955.63,15.65
11500,2.2256,0.495,0.0233,955.05,15.75
11200,2.2557,0.499,0.0236,954.36,15.82
11200,2.2745,0.503,0.0238,953.79,16.02
11000,2.2971,0.508,0.0241,953.2,16.11
10800,2.3309,0.513,0.0245,952.67,16.13
10700,2.3722,0.519,0.0249,952.06,16.18
10600,2.3986,0.531,0.0252,951.38,16.25
10400,2.4023,0.536,0.0253,950.8,16.17
10200,2.4362,0.536,0.0256,950.22,16.17
10100,2.4662,0.542,0.026,949.6,16.17
9970,2.47,0.546,0.026,949.03,16.06
9890,2.47,0.552,0.026,948.39,16.03
