"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
8600,2.1649,0.04,0.0213,1014.02,13.78
8660,2.2046,0.045,0.0217,1013.66,13.47
8680,2.1808,0.047,0.0215,1013.41,13.31
8590,2.3116,0.051,0.0228,1012.97,13.05
8630,2.2997,0.056,0.0227,1012.57,12.97
8740,2.3275,0.062,0.023,1012.08,12.81
8890,2.3195,0.069,0.0229,1011.5,12.81
9120,2.3116,0.076,0.0229,1010.84,12.77
9170,2.3552,0.084,0.0233,1010.14,12.95
9210,2.3671,0.092,0.0235,1009.35,12.85
9310,2.3671,0.1,0.0235,1008.55,12.55
9370,2.3909,0.109,0.0237,1007.69,12.47
9380,2.3632,0.116,0.0235,1006.77,12.52
9460,2.4147,0.124,0.024,1005.83,12.74
9450,2.4742,0.132,0.0246,1004.93,12.62
9410,2.5059,0.141,0.025,1003.97,12.63
9390,2.4702,0.147,0.0246,1003.08,12.66
9410,2.5257,0.149,0.0252,1002.35,12.67
9290,2.6843,0.153,0.0268,1001.7,12.79
9180,2.6923,0.156,0.0269,1001.19,13.19
9090,2.6843,0.16,0.0268,1000.61,13.24
8980,2.6804,0.165,0.0268,1000.06,13.13
8970,2.6407,0.169,0.0264,999.49,13.12
8990,2.6487,0.172,0.0265,998.95,13.16
9040,2.7165,0.176,0.0272,998.51,13.25
8990,2.7368,0.181,0.0274,997.93,13.12
8940,2.721,0.185,0.0273,997.36,13.09
8850,2.7488,0.189,0.0276,996.87,13.12
8780,2.8281,0.194,0.0284,996.34,13.33
8670,2.836,0.198,0.0285,995.82,13.3
8640,2.8439,0.201,0.0286,995.34,13.37
8710,2.8519,0.206,0.0287,994.82,13.32
8740,2.8558,0.211,0.0287,994.31,13.31
8730,2.8598,0.215,0.0288,993.81,13.35
8790,2.8955,0.219,0.0291,993.32,13.3
8780,2.9352,0.224,0.0296,992.82,13.24
8720,2.9074,0.229,0.0293,992.26,13.15
8640,2.9153,0.233,0.0294,991.73,13.05
8690,2.9669,0.238,0.0299,991.21,13.02
8760,2.9907,0.243,0.0302,990.59,12.95
8900,2.9709,0.247,0.03,990.01,12.87
8810,2.9788,0.252,0.0301,989.41,12.82
8790,2.9828,0.257,0.0302,988.88,12.94
8810,3.0105,0.261,0.0305,988.35,12.94
8720,3.0462,0.265,0.0308,987.87,12.88
8640,3.0343,0.269,0.0307,987.37,12.87
8500,3.0264,0.274,0.0307,986.86,12.89
8470,3.0423,0.278,0.0308,986.3,12.89
8430,3.0423,0.284,0.0309,985.72,12.69
8400,3.086,0.289,0.0313,985.12,12.53
