"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
11300,2.4719,0.037,0.0243,1017.9,13.01
11400,2.4758,0.037,0.0243,1017.9,13.05
11700,2.4683,0.038,0.0243,1017.78,13.41
11500,2.4605,0.038,0.0242,1017.78,13.04
11100,2.4451,0.038,0.024,1017.78,12.59
11100,2.4605,0.038,0.0242,1017.78,12.57
11100,2.4796,0.039,0.0244,1017.66,12.57
11100,2.4835,0.039,0.0244,1017.66,12.62
11100,2.5027,0.039,0.0246,1017.66,12.57
11100,2.5185,0.039,0.0247,1017.66,12.58
11400,2.549,0.039,0.025,1017.66,12.98
11400,2.5486,0.039,0.025,1017.66,13.04
11500,2.5332,0.039,0.0249,1017.66,13.07
11500,2.5332,0.039,0.0249,1017.66,13.06
11500,2.5259,0.039,0.0248,1017.66,13.03
11200,2.5187,0.039,0.0248,1017.66,12.72
11200,2.5419,0.039,0.025,1017.66,12.66
11200,2.5495,0.039,0.0251,1017.66,12.72
11300,2.5534,0.039,0.0251,1017.66,12.93
11500,2.5878,0.039,0.0254,1017.66,13.12
11500,2.6258,0.041,0.0258,1017.42,13.1
10700,2.6146,0.045,0.0257,1016.93,12.05
10100,2.5955,0.051,0.0255,1016.2,11.17
9900,2.5611,0.058,0.0252,1015.35,10.74
9950,2.5573,0.064,0.0252,1014.62,10.73
10100,2.6148,0.071,0.0258,1013.77,10.71
10500,2.6301,0.077,0.026,1013.04,11.04
10500,2.5956,0.084,0.0256,1012.19,10.83
10500,2.6301,0.09,0.026,1011.47,10.66
10700,2.6224,0.097,0.0259,1010.62,10.68
11000,2.6186,0.105,0.0259,1009.65,10.9
10900,2.6109,0.113,0.0259,1008.68,10.62
11000,2.6224,0.121,0.026,1007.72,10.61
11200,2.6263,0.129,0.0261,1006.75,10.61
11200,2.6148,0.137,0.026,1005.79,10.5
11200,2.5841,0.146,0.0257,1004.7,10.35
11100,2.6263,0.153,0.0262,1003.86,10.05
11400,2.6377,0.16,0.0263,1003.01,10.27
11200,2.6071,0.168,0.026,1002.05,9.97
11300,2.5841,0.176,0.0258,1001.09,9.95
11300,2.6148,0.182,0.0261,1000.37,9.78
11300,2.676,0.189,0.0268,999.53,9.8
11200,2.6645,0.197,0.0267,998.57,9.56
11300,2.6607,0.204,0.0267,997.73,9.5
11300,2.6837,0.209,0.0269,997.13,9.49
11400,2.7067,0.212,0.0272,996.77,9.47
11400,2.6837,0.218,0.0269,996.05,9.45
11500,2.6531,0.225,0.0267,995.21,9.44
11600,2.6722,0.231,0.0269,994.49,9.41
11600,2.7028,0.237,0.0272,993.77,9.36
11700,2.6913,0.244,0.0271,992.94,9.37
11800,2.676,0.249,0.027,992.34,9.38
11600,2.6684,0.255,0.0269,991.62,9.11
11700,2.6875,0.26,0.0271,991.02,9.1
11900,2.718,0.265,0.0274,990.43,9.28
12000,2.6909,0.272,0.0272,989.59,9.33
11900,2.6982,0.278,0.0273,988.88,9.1
12100,2.7172,0.283,0.0275,988.28,9.31
12100,2.7629,0.289,0.028,987.57,9.23
12100,2.7476,0.296,0.0278,986.74,9.17
12200,2.7246,0.302,0.0276,986.03,9.23
12200,2.7438,0.307,0.0278,985.43,9.25
12100,2.7629,0.313,0.0281,984.72,9.02
12000,2.8012,0.32,0.0285,983.89,8.96
12100,2.7859,0.327,0.0283,983.06,8.96
12000,2.7744,0.333,0.0282,982.35,8.91
12100,2.7744,0.34,0.0283,981.52,8.89
12000,2.805,0.346,0.0286,980.81,8.87
12100,2.7974,0.353,0.0285,979.99,8.87
12300,2.7706,0.36,0.0283,979.16,9.07
12100,2.7821,0.365,0.0284,978.57,8.85
12300,2.7974,0.369,0.0286,978.1,9.07
11900,2.828,0.375,0.0289,977.39,8.64
12100,2.8433,0.381,0.0291,976.68,8.8
12100,2.828,0.387,0.029,975.98,8.85
12100,2.8203,0.392,0.0289,975.39,8.76
11900,2.8165,0.398,0.0289,974.68,8.59
12000,2.8356,0.404,0.0291,973.98,8.71
12100,2.8586,0.409,0.0294,973.39,8.73
11900,2.8701,0.415,0.0295,972.69,8.49
12100,2.8624,0.421,0.0294,971.98,8.68
11900,2.8548,0.427,0.0294,971.28,8.51
11900,2.8624,0.432,0.0295,970.69,8.46
