"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
9410,1.1041,0.038,0.0108,1018.43,11.43
9050,1.1163,0.037,0.011,1018.37,11.01
8840,1.1203,0.037,0.011,1018.34,10.86
8880,1.1325,0.037,0.0111,1018.31,11.02
8830,1.1405,0.037,0.0112,1018.29,10.9
8800,1.1446,0.037,0.0112,1018.27,10.89
8920,1.1689,0.038,0.0115,1018.22,11.02
8860,1.1891,0.041,0.0117,1018.06,10.92
8510,1.1891,0.047,0.0117,1017.77,10.22
8570,1.1972,0.053,0.0118,1017.33,9.99
8510,1.1931,0.061,0.0117,1016.76,9.65
8600,1.2012,0.068,0.0118,1016.1,9.51
8730,1.2093,0.075,0.0119,1015.35,9.45
8880,1.2012,0.082,0.0118,1014.57,9.49
9050,1.1891,0.088,0.0117,1013.81,9.65
9070,1.2134,0.092,0.012,1013.13,9.62
9070,1.2417,0.096,0.0123,1012.46,9.58
9060,1.2619,0.102,0.0125,1011.82,9.6
9140,1.2619,0.107,0.0125,1011.18,9.7
9100,1.2821,0.113,0.0127,1010.51,9.91
9100,1.3064,0.119,0.0129,1009.8,10.16
8760,1.3226,0.126,0.0131,1009.07,10.34
8780,1.3347,0.132,0.0132,1008.35,10.25
8350,1.3469,0.135,0.0134,1007.68,10.78
8040,1.4035,0.139,0.0139,1007.08,11.01
8580,1.4601,0.143,0.0145,1006.53,11.3
8850,1.5086,0.148,0.015,1005.98,11.47
8660,1.545,0.152,0.0154,1005.39,11.61
8530,1.5814,0.156,0.0157,1004.8,11.68
8470,1.6219,0.161,0.0162,1004.25,11.71
8420,1.6745,0.165,0.0167,1003.7,11.72
8330,1.7109,0.171,0.0171,1003.12,11.7
8250,1.7473,0.176,0.0174,1002.55,11.64
8200,1.7796,0.182,0.0178,1001.95,11.65
8190,1.8039,0.187,0.018,1001.34,11.99
8090,1.8484,0.192,0.0185,1000.75,12.25
8050,1.8929,0.197,0.0189,1000.15,12.33
7980,1.9333,0.203,0.0193,999.53,12.36
7890,1.9738,0.209,0.0198,998.9,12.3
7860,1.9819,0.215,0.0199,998.21,12.39
7820,1.99,0.221,0.0199,997.55,12.5
7870,2.0385,0.225,0.0204,996.9,12.67
7860,2.087,0.231,0.0209,996.23,12.68
7850,2.1114,0.236,0.0212,995.61,12.99
7740,2.1236,0.241,0.0213,994.99,13.12
7690,2.1764,0.245,0.0219,994.42,13.28
7600,2.217,0.251,0.0223,993.83,13.42
7640,2.2373,0.256,0.0225,993.22,13.48
7600,2.2455,0.261,0.0226,992.64,13.53
7510,2.286,0.264,0.023,992.1,13.55
7500,2.3265,0.269,0.0235,991.58,13.67
7370,2.3548,0.274,0.0238,991.01,13.65
7270,2.367,0.279,0.0239,990.43,13.75
7200,2.3873,0.284,0.0241,989.85,13.8
7120,2.4115,0.288,0.0244,989.25,13.84
7060,2.4439,0.293,0.0247,988.7,13.79
7030,2.4844,0.298,0.0251,988.14,13.79
7040,2.4965,0.303,0.0253,987.57,13.88
6980,2.5167,0.307,0.0255,987.03,13.91
6990,2.541,0.312,0.0258,986.48,13.94
7040,2.5532,0.316,0.0259,985.93,14.03
7000,2.5532,0.32,0.0259,985.43,14.09
7000,2.5735,0.324,0.0261,984.93,14.11
6960,2.6139,0.329,0.0266,984.4,14.17
6920,2.6342,0.334,0.0268,983.87,14.18
