"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
9060,1.2462,0.034,0.0123,1010.76,9.63
8790,1.2691,0.036,0.0126,1010.67,9.16
8730,1.292,0.041,0.0128,1010.44,8.81
8630,1.292,0.048,0.0128,1010.01,8.43
8810,1.2806,0.054,0.0127,1009.51,8.39
8910,1.2691,0.06,0.0126,1008.89,8.22
9100,1.2882,0.066,0.0128,1008.33,8.31
9210,1.3112,0.073,0.013,1007.75,8.31
9250,1.3073,0.08,0.013,1007.08,8.2
9260,1.3112,0.087,0.013,1006.32,7.99
9300,1.3035,0.094,0.013,1005.52,7.92
9260,1.2997,0.1,0.0129,1004.76,7.78
9270,1.3035,0.105,0.013,1004.12,7.76
9280,1.3035,0.11,0.013,1003.5,7.72
9340,1.3112,0.116,0.0131,1002.82,7.69
9430,1.3264,0.122,0.0132,1002.06,7.7
9430,1.3226,0.129,0.0132,1001.23,7.63
9360,1.3417,0.136,0.0134,1000.47,7.46
9410,1.3341,0.143,0.0133,999.62,7.42
9490,1.3226,0.148,0.0132,998.89,7.4
9560,1.3188,0.152,0.0132,998.23,7.4
9670,1.3494,0.157,0.0135,997.68,7.5
9590,1.3991,0.162,0.014,996.99,7.37
9520,1.4144,0.167,0.0142,996.29,7.25
9550,1.3991,0.173,0.0141,995.63,7.23
9580,1.4067,0.179,0.0141,994.88,7.21
9600,1.4144,0.185,0.0142,994.35,7.19
9690,1.3876,0.189,0.014,993.8,7.28
9740,1.422,0.194,0.0143,993.27,7.29
9770,1.4602,0.2,0.0147,992.56,7.29
9670,1.4641,0.207,0.0148,991.89,7.15
9690,1.4641,0.214,0.0148,991.06,7.13
9720,1.4679,0.22,0.0148,990.31,7.11
9760,1.4755,0.225,0.0149,989.62,7.13
9780,1.4755,0.23,0.0149,988.94,7.13
9770,1.4717,0.234,0.0149,988.31,7.13
9670,1.4908,0.239,0.0151,987.7,7.01
9750,1.5214,0.244,0.0154,987.08,7.09
9800,1.529,0.25,0.0155,986.45,7.1
9800,1.5252,0.255,0.0155,985.9,7.08
9690,1.5291,0.26,0.0155,985.39,6.96
9680,1.5559,0.264,0.0158,984.82,6.95
9680,1.5788,0.271,0.016,984.29,6.95
9700,1.575,0.277,0.016,983.67,6.95
9730,1.552,0.283,0.0158,982.93,6.95
