"wv_mr","pp_o3","alt","o3_mr","pressure","temperature"
8870,2.4489,0.038,0.0241,1015,15.82
8280,2.5087,0.042,0.0247,1014.63,14.86
8100,2.5207,0.047,0.0249,1014.21,14.34
8120,2.5486,0.052,0.0251,1013.8,14.15
8200,2.5525,0.057,0.0252,1013.27,14.09
8260,2.5565,0.062,0.0252,1012.62,14.01
8320,2.5565,0.066,0.0253,1012.17,13.84
8550,2.6322,0.071,0.026,1011.67,13.94
8740,2.672,0.077,0.0264,1011.18,14.1
8810,2.6441,0.083,0.0262,1010.54,13.96
9030,2.6521,0.089,0.0263,1009.81,14.05
9120,2.668,0.094,0.0264,1009.21,14.01
9020,2.6521,0.099,0.0263,1008.63,13.71
8970,2.7238,0.103,0.027,1008.09,13.59
8920,2.7238,0.107,0.027,1007.49,13.48
9070,2.7755,0.111,0.0276,1006.98,13.62
9110,2.7604,0.116,0.0274,1006.35,13.59
9150,2.7567,0.121,0.0274,1005.72,13.56
9200,2.7567,0.125,0.0274,1005.21,13.54
9390,2.8284,0.13,0.0282,1004.6,13.71
9380,2.8244,0.137,0.0281,1003.88,13.69
9310,2.8404,0.144,0.0283,1003.21,13.55
9170,2.8284,0.151,0.0282,1002.57,13.36
9150,2.8125,0.157,0.0281,1001.76,13.31
9200,2.8404,0.164,0.0284,1001.03,13.27
9300,2.8284,0.17,0.0283,1000.25,13.3
9220,2.8324,0.176,0.0283,999.47,13.13
9070,2.8404,0.182,0.0284,998.75,12.92
9040,2.8802,0.186,0.0289,998.08,12.78
9190,2.9161,0.193,0.0292,997.41,12.86
9100,2.9041,0.199,0.0291,996.82,12.72
8980,2.8683,0.205,0.0288,996.12,12.56
8900,2.8444,0.21,0.0286,995.35,12.43
8920,2.8683,0.215,0.0288,994.63,12.41
8970,2.9001,0.221,0.0292,993.94,12.38
8990,2.9161,0.226,0.0294,993.26,12.34
9070,2.9001,0.232,0.0292,992.63,12.32
9160,2.9639,0.238,0.0299,992,12.29
9190,2.9878,0.244,0.0301,991.21,12.28
9220,2.9479,0.25,0.0298,990.54,12.25
9160,2.94,0.255,0.0297,989.9,12.11
9000,2.9479,0.261,0.0298,989.2,11.97
9000,2.94,0.266,0.0297,988.58,11.97
9030,2.9838,0.272,0.0302,987.93,11.97
9230,2.9758,0.278,0.0301,987.18,12.07
9390,2.9479,0.284,0.0299,986.6,12.19
9450,2.9041,0.288,0.0295,986.01,12.15
9450,2.9242,0.292,0.0297,985.44,12
9450,2.9804,0.296,0.0303,984.95,11.97
9380,2.9928,0.301,0.0304,984.39,11.85
9420,2.9571,0.306,0.0301,983.9,11.82
9460,2.9611,0.31,0.0301,983.31,11.79
9440,2.9691,0.316,0.0302,982.73,11.76
9360,2.9811,0.321,0.0304,982.1,11.66
9270,2.9771,0.327,0.0303,981.37,11.65
9200,3.001,0.333,0.0306,980.73,11.59
9140,3.0289,0.341,0.0309,980.03,11.47
9100,2.997,0.35,0.0306,979.25,11.32
9160,2.9332,0.357,0.03,978.47,11.28
9210,2.9412,0.363,0.0301,977.68,11.26
9120,2.985,0.37,0.0306,976.94,11.14
9120,3.0209,0.377,0.0309,976.13,11.12
9050,3.0249,0.386,0.031,975.31,10.98
9080,2.997,0.394,0.0308,974.44,10.95
9130,2.9492,0.403,0.0303,973.47,10.9
9060,2.9213,0.409,0.03,972.58,10.77
9040,2.9372,0.415,0.0302,971.7,10.73
9030,2.9691,0.422,0.0306,971.03,10.72
8960,2.997,0.429,0.0309,970.25,10.57
8960,2.989,0.437,0.0308,969.42,10.52
8930,2.9412,0.443,0.0304,968.57,10.53
8820,2.9452,0.449,0.0304,967.71,10.43
8990,2.9771,0.455,0.0308,966.92,10.48
8960,2.9332,0.461,0.0304,966.24,10.42
8790,2.9611,0.465,0.0307,965.54,10.34
8750,2.9771,0.469,0.0309,964.86,10.3
8810,3.0488,0.474,0.0316,964.32,10.37
8770,3.0209,0.48,0.0313,963.78,10.25
8640,3.005,0.48,0.0312,963.17,10.25
8190,3.005,0.491,0.0312,962.44,10.57
8150,3.0169,0.498,0.0314,961.68,10.74
8110,2.9691,0.504,0.0309,960.97,10.73
8130,2.9253,0.509,0.0305,960.36,10.73
8070,2.9253,0.513,0.0305,959.8,10.63
